"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"BP"	"GO:0071900"	"regulation of protein serine/threonine kinase activity"	"170/1983"	"492/18862"	6.41644648522554e-48	3.87232545383361e-44	2.16538183490874e-44	"CDKN3/CCNB1/CDK1/CCNA2/CDC6/CKS1B/CKS2/UCHL1/CCNE2/DBF4/CD24/THY1/CDK4/CDC25A/CCNF/CBLC/IRAK1/MEN1/DUSP4/CDK5R1/TPD52L1/LAX1/MNAT1/GPS1/PDCD10/DUSP9/CASP3/VEGFA/TNFSF11/SHC1/RGS4/CDKN2C/HEXIM2/CDC25C/PRDX2/PSMD10/MLST8/HSP90AB1/CHORDC1/PKIB/DVL2/HRAS/RET/EGF/CCNT1/NPPA/ADORA2B/PAK3/TRAF7/GSTP1/TCL1A/EGFR/CDK7/INCENP/MAP3K9/TNFRSF11A/CCNB2/DUSP10/CRKL/IGF1R/TP73/MAPK14/BCCIP/MAP2K2/UBE2N/INSR/STK38/MAP3K13/PPIA/CDK5RAP3/CCNC/DAXX/TLR9/PDE6G/RGS14/CSK/IPO5/GRM4/MAPK8IP1/MAP3K10/SLC8A2/MAP2K7/ALK/TCL1B/NF1/SRC/GRM1/PTPRJ/PSEN1/SLC8A1/UBC/FRS2/SLC8A3/CD40LG/RB1/GPS2/MAPK3/FGFR1/FLT3/CDC37/NTRK3/STK4/DUSP3/MAP3K11/S1PR2/PLCE1/SHC2/CAMK1/AKT1/DUSP7/PTK2B/DUSP16/GADD45G/MAP3K6/UBB/TIAM1/FLT1/HEXIM1/TRAF6/MAP3K12/MAP2K4/PDGFRB/PIK3CG/PIK3R5/MAPK10/CCNH/FGF18/NOD1/MAP3K5/PTPN22/SYK/DNAJA1/DUSP5/SPAG9/HERC5/RIPK1/CSF1R/RGS3/LYN/LPAR1/SPRED1/FZD4/NR2F2/CDKN1C/PRKCD/CCND3/RASGRP1/CDKN2B/RAPGEF2/IRAK3/CEBPA/PTPN6/SERTAD1/PKIA/RASIP1/CDKN1A/KIT/TLR4/PKIG/DUSP1/DUSP6/FGF2/SPRY2/SH2B3/IL1B/SPRY4/GADD45B/GHR/S100A12/ADRB2"	170
"BP"	"GO:0018108"	"peptidyl-tyrosine phosphorylation"	"128/1983"	"369/18862"	2.22149874302137e-36	6.703372457067e-33	3.74848682638238e-33	"NCAPG2/CD24/THY1/LRP8/EPHB3/NOX4/CBLC/STAP2/VEGFA/HDAC2/TWF1/SHC1/DLG3/PAK2/PTK2/PTK6/EPHA7/DVL2/RET/EGF/EGFR/TP53/SNX6/LEP/WEE1/IGF1R/BLK/DOCK3/MAP2K2/INSR/IL31RA/CNOT7/RAP2B/HES5/BAZ1B/FGF8/GRM5/ABI2/GATA1/SCYL1/CSK/EPHA8/ADORA1/MAP2K7/JAK3/ALK/DYRK1B/TNK2/EPO/IL13/NF2/MTOR/SRC/IL4/ITGB3/PTPRJ/PSEN1/TEC/TTN/MAPK3/FGFR1/SOCS5/ABL2/FLT3/NTRK3/CTF1/LTK/OSM/NRP1/JAK1/PTK2B/HIPK1/TXK/FLT1/MATK/TAL1/ZAP70/DUSP22/FER/MAP2K4/PDGFRB/STAT3/PRNP/SYK/FLT4/TSLP/ERBB4/TNFRSF14/CSF1R/BTC/AXL/LYN/EREG/BMX/IL15/JAK2/ITGA5/PRKCD/LIF/IL18/FES/SOCS3/PTPN6/FYN/NCF1/ITGB2/TREM2/ARRB2/NEDD9/KIT/IL7/ROS1/TIE1/SH3BP5/BTK/GAS6/PRKCZ/SH2B3/TEK/HCK/CSF3/PECAM1/ICAM1/EFEMP1/ANGPT1/GHR/CD36/IL6"	128
"BP"	"GO:0018212"	"peptidyl-tyrosine modification"	"128/1983"	"372/18862"	5.77646012743536e-36	1.16203122896908e-32	6.49801093633605e-33	"NCAPG2/CD24/THY1/LRP8/EPHB3/NOX4/CBLC/STAP2/VEGFA/HDAC2/TWF1/SHC1/DLG3/PAK2/PTK2/PTK6/EPHA7/DVL2/RET/EGF/EGFR/TP53/SNX6/LEP/WEE1/IGF1R/BLK/DOCK3/MAP2K2/INSR/IL31RA/CNOT7/RAP2B/HES5/BAZ1B/FGF8/GRM5/ABI2/GATA1/SCYL1/CSK/EPHA8/ADORA1/MAP2K7/JAK3/ALK/DYRK1B/TNK2/EPO/IL13/NF2/MTOR/SRC/IL4/ITGB3/PTPRJ/PSEN1/TEC/TTN/MAPK3/FGFR1/SOCS5/ABL2/FLT3/NTRK3/CTF1/LTK/OSM/NRP1/JAK1/PTK2B/HIPK1/TXK/FLT1/MATK/TAL1/ZAP70/DUSP22/FER/MAP2K4/PDGFRB/STAT3/PRNP/SYK/FLT4/TSLP/ERBB4/TNFRSF14/CSF1R/BTC/AXL/LYN/EREG/BMX/IL15/JAK2/ITGA5/PRKCD/LIF/IL18/FES/SOCS3/PTPN6/FYN/NCF1/ITGB2/TREM2/ARRB2/NEDD9/KIT/IL7/ROS1/TIE1/SH3BP5/BTK/GAS6/PRKCZ/SH2B3/TEK/HCK/CSF3/PECAM1/ICAM1/EFEMP1/ANGPT1/GHR/CD36/IL6"	128
"BP"	"GO:0043405"	"regulation of MAP kinase activity"	"113/1983"	"307/18862"	5.93718246352249e-35	8.95772404183955e-32	5.00910709948766e-32	"CDK1/UCHL1/CD24/CBLC/IRAK1/DUSP4/TPD52L1/LAX1/GPS1/PDCD10/DUSP9/VEGFA/TNFSF11/SHC1/RGS4/PRDX2/DVL2/HRAS/RET/EGF/NPPA/ADORA2B/PAK3/TRAF7/GSTP1/EGFR/MAP3K9/TNFRSF11A/DUSP10/CRKL/IGF1R/TP73/MAPK14/MAP2K2/UBE2N/INSR/STK38/MAP3K13/PPIA/CDK5RAP3/DAXX/TLR9/PDE6G/RGS14/CSK/GRM4/MAPK8IP1/MAP3K10/MAP2K7/ALK/NF1/SRC/GRM1/PTPRJ/PSEN1/UBC/FRS2/CD40LG/GPS2/MAPK3/FGFR1/FLT3/NTRK3/DUSP3/MAP3K11/S1PR2/PLCE1/SHC2/DUSP7/PTK2B/DUSP16/GADD45G/MAP3K6/UBB/TIAM1/FLT1/TRAF6/MAP3K12/MAP2K4/PDGFRB/PIK3CG/PIK3R5/MAPK10/FGF18/NOD1/MAP3K5/PTPN22/SYK/DNAJA1/DUSP5/SPAG9/RIPK1/RGS3/LYN/LPAR1/SPRED1/FZD4/PRKCD/RASGRP1/IRAK3/PTPN6/KIT/TLR4/DUSP1/DUSP6/FGF2/SPRY2/SH2B3/IL1B/SPRY4/GADD45B/GHR/S100A12"	113
"BP"	"GO:0031098"	"stress-activated protein kinase signaling cascade"	"102/1983"	"276/18862"	8.13526264262843e-32	9.81926200965251e-29	5.49087411205615e-29	"FOXM1/IRAK1/MEN1/TPD52L1/GPS1/PAK6/PDCD10/DUSP9/VEGFA/TNFSF11/UNC5CL/SPHK1/DLG1/PRMT1/SEMA4C/PAK2/HRAS/COPS5/NPPA/ADORA2B/PAK3/GSTP1/EGFR/MAP3K9/LEP/IRAK4/WNT7B/PLCB1/DUSP10/CRKL/IGF1R/MAPK14/NBR1/MAP2K2/UBE2N/TRAF5/MAP3K13/PPIA/PAK4/HDAC3/DAXX/TLR9/MAPK8IP1/MAP3K10/EDAR/MAP2K7/CASR/UBC/CD40LG/RAP2A/GPS2/CUL1/MAPK3/STK4/DUSP3/MAPK9/MAP3K11/ZMYND11/AKT1/PTK2B/GADD45G/MECOM/MAP3K6/UBB/NCOR1/TRAF6/DUSP22/MAP3K12/MAP2K4/MAPK10/NOD1/MAP3K5/PTPN22/SYK/DNAJA1/FLT4/EZR/FOXO1/SPAG9/MAP3K3/MAGI3/RIPK1/RAPGEF1/SIRPA/CYLD/SH3RF1/LYN/SH3RF3/RASGRP1/NFKB1/MYD88/NCF1/TLR4/CRYAB/DUSP1/SH2D3C/IL1B/TLR3/RASSF2/ARHGEF6/MAP3K8/GADD45B"	102
"BP"	"GO:0051403"	"stress-activated MAPK cascade"	"96/1983"	"261/18862"	8.10308502959013e-30	8.15035302559608e-27	4.55762993067824e-27	"FOXM1/IRAK1/MEN1/TPD52L1/GPS1/PDCD10/DUSP9/VEGFA/TNFSF11/UNC5CL/SPHK1/DLG1/PRMT1/SEMA4C/HRAS/COPS5/NPPA/ADORA2B/GSTP1/EGFR/MAP3K9/LEP/IRAK4/WNT7B/PLCB1/DUSP10/CRKL/IGF1R/MAPK14/NBR1/MAP2K2/UBE2N/TRAF5/MAP3K13/PPIA/HDAC3/DAXX/TLR9/MAPK8IP1/MAP3K10/EDAR/MAP2K7/CASR/UBC/CD40LG/RAP2A/GPS2/CUL1/MAPK3/DUSP3/MAPK9/MAP3K11/ZMYND11/AKT1/PTK2B/GADD45G/MECOM/MAP3K6/UBB/NCOR1/TRAF6/DUSP22/MAP3K12/MAP2K4/MAPK10/NOD1/MAP3K5/PTPN22/SYK/DNAJA1/FLT4/EZR/FOXO1/SPAG9/MAP3K3/MAGI3/RIPK1/RAPGEF1/SIRPA/CYLD/SH3RF1/SH3RF3/RASGRP1/NFKB1/MYD88/NCF1/TLR4/CRYAB/DUSP1/SH2D3C/IL1B/TLR3/RASSF2/ARHGEF6/MAP3K8/GADD45B"	96
"BP"	"GO:0071902"	"positive regulation of protein serine/threonine kinase activity"	"105/1983"	"311/18862"	7.0926787888095e-29	6.11490235578076e-26	3.41941777397342e-26	"CCNB1/CDK1/CDC6/CKS1B/CKS2/DBF4/CD24/IRAK1/CDK5R1/TPD52L1/MNAT1/PDCD10/DUSP9/VEGFA/TNFSF11/SHC1/PRDX2/PSMD10/MLST8/HSP90AB1/DVL2/HRAS/RET/EGF/CCNT1/ADORA2B/PAK3/TRAF7/TCL1A/EGFR/INCENP/MAP3K9/TNFRSF11A/CRKL/TP73/MAPK14/MAP2K2/UBE2N/INSR/MAP3K13/PPIA/DAXX/TLR9/PDE6G/CSK/GRM4/MAP3K10/SLC8A2/MAP2K7/ALK/TCL1B/SRC/GRM1/PSEN1/UBC/FRS2/CD40LG/MAPK3/FGFR1/FLT3/NTRK3/STK4/MAP3K11/S1PR2/PLCE1/SHC2/CAMK1/AKT1/DUSP7/PTK2B/GADD45G/MAP3K6/UBB/TIAM1/FLT1/TRAF6/MAP3K12/MAP2K4/PDGFRB/PIK3CG/PIK3R5/MAPK10/FGF18/NOD1/MAP3K5/SYK/DUSP5/SPAG9/RIPK1/CSF1R/LPAR1/FZD4/CCND3/RASGRP1/RAPGEF2/KIT/TLR4/DUSP6/FGF2/SPRY2/IL1B/GADD45B/GHR/S100A12/ADRB2"	105
"BP"	"GO:0046777"	"protein autophosphorylation"	"86/1983"	"226/18862"	4.65388599905959e-28	3.51077525054058e-25	1.96320506749803e-25	"AURKA/NEK2/AURKB/CHEK2/EPHB3/VRK1/IRAK1/VEGFA/MEX3B/VRK2/PIM2/PAK2/PTK2/PTK6/EIF2AK1/EPHA7/TRIM24/HTATIP2/ATR/EGFR/MAP3K9/PPP2R5D/WNK2/CAMK2B/MARK2/IGF1R/NBN/MAP2K2/INSR/NLK/MAP3K13/RAP2B/CSK/MAP3K10/EPHA8/STK24/TAF1/ALK/DYRK1B/MTOR/SRC/TSSK2/CAMK2A/DAPK3/TEC/RAP2A/MAPK3/FGFR1/FLT3/CAMK2D/STK4/SIK1/MAP3K11/TNKS1BP1/GFRA2/AKT1/PTK2B/TXK/FLT1/FER/MAP3K12/NLRP12/PDGFRB/MKNK2/PPP2R5A/FLT4/MAP3K3/ERBB4/RIPK1/SIK2/CSF1R/LYN/ULK2/PRKD1/BMX/JAK2/FES/IRAK3/SLK/VEGFC/KIT/ROS1/BTK/TEK/RASSF2/HCK"	86
"BP"	"GO:0032147"	"activation of protein kinase activity"	"106/1983"	"328/18862"	2.41532027872758e-27	1.61960643134677e-24	9.05674481122881e-25	"TPX2/CDK1/ECT2/IRAK1/CDK5R1/PAK6/DUSP9/VEGFA/TNFSF11/SHC1/DLG1/PRDX2/PHB2/PAK2/MLST8/TXN/RET/EGF/ADORA2B/PAK3/TRAF7/EGFR/MAP3K9/LEP/MARK2/CRKL/TP73/MAPK14/MAP2K2/UBE2N/INSR/MAP3K13/PPIA/PAK4/DAXX/COPS8/PDE6G/GRM4/MAP3K10/ADORA1/MAP2K7/ALK/EPO/AGAP2/MTOR/SRC/IL4/GRM1/ITGB3/PSEN1/UBC/FRS2/CD40LG/MAP3K1/MAPK3/NTRK3/STK4/BRAF/MAP3K11/S1PR2/PLCE1/SHC2/NRG3/AKT1/DUSP7/PTK2B/GADD45G/MAP3K6/UBB/TRAF6/MAP3K12/MAP2K4/KIDINS220/MAPK10/NOD1/MAP3K5/ADCY6/SYK/DUSP5/RAF1/SPAG9/MAP3K3/RIPK1/RAPGEF1/CRK/ADCY7/LPAR1/CD86/JAK2/PRKCD/IL18/MAP3K14/ANG/KIT/TLR4/DUSP6/FGF2/GAS6/PRKCZ/IL1B/TLR3/MAP3K8/GADD45B/ANGPT1/GHR/ADRB2"	106
"BP"	"GO:0051090"	"regulation of DNA-binding transcription factor activity"	"126/1983"	"444/18862"	2.49893425852685e-26	1.50810682502095e-23	8.43324550824955e-24	"TWIST1/HES6/JUP/TNFSF4/LRP8/IRAK1/MEN1/FANCA/VEGFA/TNFSF11/POU4F1/HDAC2/NEUROD1/SPHK1/PRDX2/PHB2/PSMD10/MDFI/RIPK4/DVL2/COPS5/CARD11/SMARCA4/TNFRSF11A/TAF12/JMY/RNF31/MAPK14/UBE2N/TRAF5/MAP3K13/PPIA/CDK5RAP3/TLR9/KDM5A/PRDX3/WNT1/MAP3K10/FAF1/TAF1/ALK/TNFRSF4/FOXH1/RPS6KA4/NEUROG2/CAMK2A/ESR1/POU4F2/UBC/ZBTB7A/CD40LG/MAVS/RB1/USP7/MAPK3/SIK1/NFAM1/MAPK9/PRMT2/EP300/AKT1/HDAC5/RNF41/DDX58/UBB/TRIM38/TRAF6/FER/NLRP12/STAT3/NR0B2/FZD1/MAPK10/SAV1/TMSB4X/HDAC4/PRNP/NOD1/SYK/TICAM1/TRIM21/PPP3CA/RIPK1/PRKCB/PPARGC1B/CYLD/FLNA/PRKD1/PPARGC1A/S100A9/FZD4/NFKBIA/CTNNBIP1/JAK2/PRKCH/PELI1/TCF7L2/IL18/IRAK3/NFKB1/WNT2/MYD88/ITGB2/ARRB2/KIT/S100A8/HMOX1/TLR4/TLR2/BTK/TRIM22/PRKCQ/GAS6/PRKCZ/IL18RAP/IL1B/TLR3/HCK/CAPN3/CSF3/ICAM1/PPARG/KLF4/S100A12/CD36/IL6"	126
