,logFC,AveExpr,t,P.Value,adj.P.Val,B
4321,8.746596519,-0.407297259,15.1259152,2.01E-32,1.25E-30,63.10650077
1301,8.141238666,-0.396863648,16.46107929,5.74E-36,6.38E-34,71.2161228
26585,7.548786069,-0.297584216,15.09785853,2.38E-32,1.46E-30,62.9344073
3853,6.903213311,-0.261587762,8.579208565,8.85E-15,7.12E-14,22.77208927
10563,6.754594593,-0.177593578,10.15001334,6.51E-19,8.32E-18,32.19797237
4312,6.636194324,-0.265194547,9.963086361,2.06E-18,2.51E-17,31.05507389
115908,6.3566269,-0.255931883,14.8661574,9.98E-32,5.54E-30,61.51085581
7153,6.314105781,-0.363417585,17.64022379,4.95E-39,9.18E-37,78.22893683
2706,6.25163614,-0.227670057,12.76139249,5.15E-26,1.42E-24,48.43476561
57016,6.243384888,-0.431753762,8.956218319,9.39E-16,8.42E-15,24.99170284
9787,6.053630823,-0.361378161,17.25555624,4.87E-38,7.50E-36,75.95791298
991,5.97769334,-0.367343439,18.47184437,3.75E-41,1.06E-38,83.08017209
7272,5.945426664,-0.369274184,16.44314406,6.40E-36,7.04E-34,71.10831176
22974,5.929443827,-0.390116194,18.5005169,3.17E-41,9.25E-39,83.24596634
6241,5.775966344,-0.288481073,15.35696738,4.83E-33,3.28E-31,64.52129034
9837,5.693432168,-0.353765824,18.54134762,2.50E-41,7.71E-39,83.48189187
55872,5.651829369,-0.343211716,15.22622309,1.08E-32,6.91E-31,63.72124939
11065,5.538726184,-0.347122284,18.10013641,3.29E-40,7.83E-38,80.92190659
83540,5.485358101,-0.356847413,17.86105318,1.34E-39,2.80E-37,79.52505418
54443,5.393490105,-0.284719811,16.17412627,3.27E-35,3.30E-33,69.48732929
9833,5.314470424,-0.299375803,17.57106327,7.46E-39,1.32E-36,77.82185836
1058 /// 54978,5.291382436,-0.366057465,17.49672807,1.16E-38,1.97E-36,77.38371384
29089,5.291274394,-0.335280563,20.44105595,4.97E-46,4.94E-43,94.23018702
24137,5.26085732,-0.345791163,19.64085672,4.50E-44,2.40E-41,89.75797475
1033,5.224429173,-0.318915025,16.84050053,5.83E-37,7.69E-35,73.48907654
1300,5.168517996,-0.206732862,13.26904127,2.12E-27,6.89E-26,51.60559305
3728 /// 3872,5.150785012,-0.283009871,8.793548632,2.48E-15,2.12E-14,24.03005543
55165,5.14295944,-0.27500461,16.46368688,5.65E-36,6.34E-34,71.23179466
1832,5.107108731,-0.312769633,15.46514433,2.49E-33,1.76E-31,65.18214949
