source	target	weight
MMP12	F12	0.11044
MMP12	PLAUR	0.0022663
MMP12	TFPI	0.053862
GREM1	YWHAH	0.00093916
GREM1	BMP2	0.073874
KRT6A	DSP	0.10531
KRT6A	KRT15	0.11721
KRT6A	TCHP	0.0020791
KRT6A	CCDC53	0.0014275
CXCL13	CCL19	0.14741
CXCL13	CCR10	0.0095677
CXCL13	CXCR5	0.10921
CXCL13	CCL21	0.0058188
CXCL13	FGF2	0.051824
MMP1	IGFBP3	0.10879
MMP1	MMP7	0.071573
MMP1	TIMP1	0.085614
MMP1	TNFSF11	0.088569
MMP1	BSG	0.0012079
MMP1	COL2A1	0.020201
MMP1	ITGA2	0.043793
MMP1	CCL7	0.028809
MMP1	ACAN	0.010661
MMP1	BCAN	0.023078
MMP1	CMA1	7.1934e-06
MMP1	CCL13	0.0021444
MMP1	SERPINA3	0.0037712
MMP1	CD44	0.00043887
MMP1	TFPI	0.033323
MMP1	CCL2	0.0092394
TOP2A	CDK1	0.38618
TOP2A	BRCA1	0.33255
TOP2A	SRPK1	0.23642
TOP2A	XPO1	0.23959
TOP2A	CSNK2A1	0.17061
TOP2A	HDAC1	0.14229
TOP2A	HDAC2	0.2247
TOP2A	DHX9	0.077714
TOP2A	TP53	0.025815
TOP2A	SUMO4	0.090128
TOP2A	SUMO1	0.041265
TOP2A	PRKCA	0.0056701
TOP2A	TOP2B	0.00024002
TOP2A	RB1	0.011291
TOP2A	PRKCB	0.076198
TOP2A	JUN	0.068153
GJB2	GJB6	0.21502
GJB2	CAV1	0.066438
DLGAP5	TRIM37	0.063732
DLGAP5	TRAF2	0.029045
CDC20	BUB1B	0.36484
CDC20	MAD2L1	0.27786
CDC20	AURKA	0.37455
CDC20	CCNA2	0.32331
CDC20	PTTG1	0.36306
CDC20	FBXO5	0.19966
CDC20	MAD2L2	0.12807
CDC20	HDAC1	0.22871
CDC20	HDAC2	0.18973
CDC20	BUB1	0.24374
CDC20	CDC27	0.049329
CDC20	ANAPC7	0.024617
CDC20	TGFBR1	0.026231
CDC20	CDC16	0.012197
CDC20	ANAPC10	0.030251
CDC20	RASSF1	0.061526
CDC20	SOSTDC1	0.066351
TTK	TUBB	0.17042
TTK	TUBB1	0.11
TPX2	HMMR	0.3249
TPX2	AURKA	0.3651
RRM2	CDK1	0.38966
RRM2	RRM1	0.22172
RRM2	CDH1	0.0020395
RRM2	TP53	0.019225
RRM2	RRM2B	0.069151
PBK	CCNB1	0.40549
PBK	CDK1	0.3763
PBK	DLG1	0.041164
PBK	TRIM37	0.068205
PBK	TP53	0.012952
PBK	GPS2	0.010234
PBK	SMAD4	0.018421
PBK	ARAF	0.025207
PBK	RAF1	0.1178
PBK	GPRASP1	0.11972
UBE2C	ENO2	0.062216
UBE2C	ANAPC11	0.2132
NUF2	NDC80	0.44682
NUF2	AURKA	0.4032
NUF2	AURKB	0.27996
NUF2	ATF3	0.046311
ANLN	SEPT7	0.020347
MELK	LMNB1	0.16551
MELK	ZNF622	0.029548
MELK	CDC5L	0.050881
MELK	HIST1H1B	0.04305
MELK	PPP1R8	0.036664
MELK	SF3B1	0.0088225
MELK	MBP	0.06771
KIF4A	TTF2	0.17885
KIF4A	HMG20B	0.015447
CDKN3	CDK1	0.43642
CDKN3	CDC25A	0.25856
CDKN3	CDK2	0.086618
CDKN3	CEBPA	0.041995
COL10A1	P4HB	0.051209
COL10A1	ANXA5	0.023946
CEP55	CDK1	0.38912
CEP55	PLK1	0.22809
CEP55	VPS37D	0.055608
CEP55	HGS	0.020946
CEP55	AKAP9	0.0093255
CEP55	PDCD6IP	0.10641
DSP	KRT6A	0.10531
DSP	KRT5	0.050879
DSP	COL17A1	0.046301
DSP	JUP	0.11174
DSP	PKP2	0.078485
DSP	ARID3A	0.028153
DSP	CASP6	0.039487
DSP	PKP4	0.061809
DSP	CASP2	0.05546
DSP	DSC1	0.018296
DSP	CASP9	0.012122
DSP	CASP7	0.0025175
DSP	CASP4	0.064958
DSP	DES	0.094145
DSP	VIM	0.13032
DSP	PECAM1	0.1557
DSP	CDH5	0.15254
BUB1B	CDC20	0.36484
BUB1B	CENPE	0.38022
BUB1B	HDAC1	0.15007
BUB1B	BUB3	0.18483
BUB1B	AP2B1	0.031984
BUB1B	CDC27	0.087896
BUB1B	SNCG	0.0032022
BUB1B	ANAPC7	0.030312
BUB1B	CDC16	0.0090186
CCNB1	PBK	0.40549
CCNB1	CDK1	0.38154
CCNB1	PLK1	0.24999
CCNB1	PCNA	0.31395
