From	To	Species	Gene Name
3640	INSL3	Homo sapiens	insulin like 3(INSL3)
81849	ST6GALNAC5	Homo sapiens	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5(ST6GALNAC5)
259266	ASPM	Homo sapiens	abnormal spindle microtubule assembly(ASPM)
81848	SPRY4	Homo sapiens	sprouty RTK signaling antagonist 4(SPRY4)
2306	FOXD2	Homo sapiens	forkhead box D2(FOXD2)
3638	INSIG1	Homo sapiens	insulin induced gene 1(INSIG1)
4969	OGN	Homo sapiens	osteoglycin(OGN)
2305	FOXM1	Homo sapiens	forkhead box M1(FOXM1)
56897	WRNIP1	Homo sapiens	Werner helicase interacting protein 1(WRNIP1)
81853	TMEM14B	Homo sapiens	transmembrane protein 14B(TMEM14B)
2304	FOXE1	Homo sapiens	forkhead box E1(FOXE1)
56898	BDH2	Homo sapiens	3-hydroxybutyrate dehydrogenase, type 2(BDH2)
2303	FOXC2	Homo sapiens	forkhead box C2(FOXC2)
55561	CDC42BPG	Homo sapiens	CDC42 binding protein kinase gamma(CDC42BPG)
55568	GALNT10	Homo sapiens	polypeptide N-acetylgalactosaminyltransferase 10(GALNT10)
56892	c8orf4	Homo sapiens	chromosome 8 open reading frame 4(C8orf4)
284217	LAMA1	Homo sapiens	laminin subunit alpha 1(LAMA1)
55567	DNAH3	Homo sapiens	dynein axonemal heavy chain 3(DNAH3)
56893	UBQLN4	Homo sapiens	ubiquilin 4(UBQLN4)
2300	FOXL1	Homo sapiens	forkhead box L1(FOXL1)
56894	AGPAT3	Homo sapiens	1-acylglycerol-3-phosphate O-acyltransferase 3(AGPAT3)
55565	ZNF821	Homo sapiens	zinc finger protein 821(ZNF821)
56895	AGPAT4	Homo sapiens	1-acylglycerol-3-phosphate O-acyltransferase 4(AGPAT4)
3632	INPP5A	Homo sapiens	inositol polyphosphate-5-phosphatase A(INPP5A)
3633	INPP5B	Homo sapiens	inositol polyphosphate-5-phosphatase B(INPP5B)
2309	FOXO3	Homo sapiens	forkhead box O3(FOXO3)
2308	FOXO1	Homo sapiens	forkhead box O1(FOXO1)
3636	INPPL1	Homo sapiens	inositol polyphosphate phosphatase like 1(INPPL1)
4968	OGG1	Homo sapiens	8-oxoguanine DNA glycosylase(OGG1)
81839	VANGL1	Homo sapiens	VANGL planar cell polarity protein 1(VANGL1)
55571	CNOT11	Homo sapiens	CCR4-NOT transcription complex subunit 11(CNOT11)
2317	FLNB	Homo sapiens	filamin B(FLNB)
145258	GSC	Homo sapiens	goosecoid homeobox(GSC)
2	A2M	Homo sapiens	alpha-2-macroglobulin(A2M)
55572	FOXRED1	Homo sapiens	FAD dependent oxidoreductase domain containing 1(FOXRED1)
81844	TRIM56	Homo sapiens	tripartite motif containing 56(TRIM56)
2313	FLI1	Homo sapiens	Fli-1 proto-oncogene, ETS transcription factor(FLI1)
284207	METRNL	Homo sapiens	meteorin like, glial cell differentiation regulator(METRNL)
3641	INSL4	Homo sapiens	insulin like 4(INSL4)
4973	OLR1	Homo sapiens	oxidized low density lipoprotein receptor 1(OLR1)
4978	OPCML	Homo sapiens	opioid binding protein/cell adhesion molecule like(OPCML)
2318	FLNC	Homo sapiens	filamin C(FLNC)
92521	SPECC1	Homo sapiens	sperm antigen with calponin homology and coiled-coil domains 1(SPECC1)
4991	OR1D2	Homo sapiens	olfactory receptor family 1 subfamily D member 2(OR1D2)
3661	IRF3	Homo sapiens	interferon regulatory factor 3(IRF3)
4992	OR1F1	Homo sapiens	olfactory receptor family 1 subfamily F member 1(OR1F1)
3662	IRF4	Homo sapiens	interferon regulatory factor 4(IRF4)
1000	CDH2	Homo sapiens	cadherin 2(CDH2)
2330	FMO5	Homo sapiens	flavin containing monooxygenase 5(FMO5)
2328	FMO3	Homo sapiens	flavin containing monooxygenase 3(FMO3)
55586	MIOX	Homo sapiens	myo-inositol oxygenase(MIOX)
2327	FMO2	Homo sapiens	flavin containing monooxygenase 2(FMO2)
2326	FMO1	Homo sapiens	flavin containing monooxygenase 1(FMO1)
55584	CHRNA9	Homo sapiens	cholinergic receptor nicotinic alpha 9 subunit(CHRNA9)
2324	FLT4	Homo sapiens	fms related tyrosine kinase 4(FLT4)
2323	FLT3LG	Homo sapiens	fms related tyrosine kinase 3 ligand(FLT3LG)
55588	MED29	Homo sapiens	mediator complex subunit 29(MED29)
2321	FLT1	Homo sapiens	fms related tyrosine kinase 1(FLT1)
3654	IRAK1	Homo sapiens	interleukin 1 receptor associated kinase 1(IRAK1)
4985	OPRD1	Homo sapiens	opioid receptor delta 1(OPRD1)
3655	ITGA6	Homo sapiens	integrin subunit alpha 6(ITGA6)
4986	OPRK1	Homo sapiens	opioid receptor kappa 1(OPRK1)
3659	IRF1	Homo sapiens	interferon regulatory factor 1(IRF1)
3670	ISL1	Homo sapiens	ISL LIM homeobox 1(ISL1)
3671	ISLR	Homo sapiens	immunoglobulin superfamily containing leucine rich repeat(ISLR)
3672	ITGA1	Homo sapiens	integrin subunit alpha 1(ITGA1)
3673	ITGA2	Homo sapiens	integrin subunit alpha 2(ITGA2)
2342	FNTB	Homo sapiens	farnesyltransferase, CAAX box, beta(FNTB)
55593	OTUD5	Homo sapiens	OTU deubiquitinase 5(OTUD5)
81858	SHARPIN	Homo sapiens	SHANK associated RH domain interactor(SHARPIN)
1004	CDH6	Homo sapiens	cadherin 6(CDH6)
1003	CDH5	Homo sapiens	cadherin 5(CDH5)
1001	CDH3	Homo sapiens	cadherin 3(CDH3)
3664	IRF6	Homo sapiens	interferon regulatory factor 6(IRF6)
3665	IRF7	Homo sapiens	interferon regulatory factor 7(IRF7)
4998	ORC1	Homo sapiens	origin recognition complex subunit 1(ORC1)
285590	SH3PXD2B	Homo sapiens	SH3 and PX domains 2B(SH3PXD2B)
3669	ISG20	Homo sapiens	interferon stimulated exonuclease gene 20(ISG20)
158584	FAAH2	Homo sapiens	fatty acid amide hydrolase 2(FAAH2)
116729	PPP1R27	Homo sapiens	protein phosphatase 1 regulatory subunit 27(PPP1R27)
3683	ITGAL	Homo sapiens	integrin subunit alpha L(ITGAL)
3684	ITGAM	Homo sapiens	integrin subunit alpha M(ITGAM)
1022	CDK7	Homo sapiens	cyclin dependent kinase 7(CDK7)
2353	FOS	Homo sapiens	Fos proto-oncogene, AP-1 transcription factor subunit(FOS)
285513	GPRIN3	Homo sapiens	GPRIN family member 3(GPRIN3)
