ENTREZ_id,logFC,AveExpr,t,P.Value,adj.P.Val,B
1300,4.028262667,7.404470667,16.86455773,1.72E-33,4.32E-30,65.57453635
1301,3.673170167,5.861699417,11.43764359,5.90E-21,7.05E-19,37.10066976
90161,3.390144333,6.290471167,12.24763951,6.81E-23,1.25E-20,41.50675315
6690,3.339113833,7.544748417,8.066689626,6.10E-13,1.33E-11,18.8919487
115908,3.193161,9.455979,14.10991351,2.81E-27,1.37E-24,51.47621984
4321,3.175402667,6.992932667,9.573185647,1.74E-16,7.66E-15,26.93511413
4312,3.042188167,6.793403417,7.670497596,4.94E-12,8.96E-11,16.83619811
1469,2.989628667,6.0757135,11.99041786,2.80E-22,4.54E-20,40.11064097
26585,2.8674735,5.9707525,8.655008179,2.61E-14,7.56E-13,21.99773586
27324,2.8404335,7.14994775,11.59203162,2.51E-21,3.34E-19,37.94243428
6696,2.779812333,7.213729583,14.09598532,3.02E-27,1.44E-24,51.40277853
2706,2.571428333,6.2888695,9.86061781,3.59E-17,1.85E-15,28.4956445
9245,2.474730167,7.04593825,13.02764462,9.60E-25,2.69E-22,45.71586165
9547,2.412580833,8.760612917,8.319465405,1.58E-13,3.87E-12,20.2194101
1356,2.400521833,8.054157833,8.300888246,1.75E-13,4.23E-12,20.12147205
56649,2.319594,7.5635675,10.54657377,8.13E-19,5.89E-17,32.2349919
1382,2.3049745,8.56907225,11.50605961,4.04E-21,5.05E-19,37.47377813
7153,2.234706333,5.913572833,10.00964337,1.58E-17,8.72E-16,29.3065565
1311,2.2045875,6.815514083,10.47343319,1.22E-18,8.51E-17,31.83565162
10563,2.140513667,6.875781167,5.672759472,9.85E-08,7.58E-07,7.147504126
51557,2.134628333,5.098911167,8.584556863,3.81E-14,1.07E-12,21.62295796
7058,2.130527167,9.080719417,10.47379299,1.22E-18,8.51E-17,31.83761588
55808,2.035614833,8.14349675,9.564855891,1.83E-16,7.99E-15,26.88997056
23213,2.034744333,8.620815833,9.870733253,3.39E-17,1.76E-15,28.55065194
1001,1.975129,8.313183667,12.02027236,2.38E-22,3.91E-20,40.27285124
9837,1.963951833,6.266581417,10.14934203,7.30E-18,4.25E-16,30.06761047
79782,1.957205833,5.823953583,8.385934484,1.11E-13,2.78E-12,20.57029915
54443,1.928680083,5.716448208,9.29320844,8.09E-16,3.06E-14,25.42071836
6241,1.915137583,7.717948208,9.243806248,1.06E-15,3.93E-14,25.15419384
26575,1.914484667,5.694155,9.319022143,7.03E-16,2.69E-14,25.56007135
9787,1.905576167,6.025309417,9.1860035,1.45E-15,5.25E-14,24.84263966
8612,1.904238833,7.967217917,12.06779569,1.83E-22,3.08E-20,40.53097415
3026,1.8988605,6.565672083,9.819625235,4.50E-17,2.24E-15,28.27278452
29128,1.872431167,6.766215417,9.812002707,4.69E-17,2.31E-15,28.2313541
1281,1.859893917,11.51999546,10.1881377,5.89E-18,3.49E-16,30.27909388
4322,1.843859,5.751779167,7.686359523,4.54E-12,8.30E-11,16.91785929
3149,1.827035583,8.569205792,10.07175539,1.12E-17,6.32E-16,29.64483518
1278,1.796877333,11.881355,9.681817668,9.60E-17,4.44E-15,27.52429053
132299,1.788120833,10.29815692,14.76409187,8.70E-29,6.54E-26,54.90305805
991,1.787685,6.728873,9.994303796,1.72E-17,9.39E-16,29.2230387
11130,1.7740215,8.445040417,11.12178187,3.38E-20,3.42E-18,35.37672038
6447,1.77327,5.932894833,8.594554006,3.61E-14,1.02E-12,21.67609658
701,1.7690195,6.80372625,9.692105777,9.07E-17,4.22E-15,27.5801297
8857,1.750039667,8.1483175,8.949992567,5.26E-15,1.72E-13,23.57409732
29089,1.7482925,6.858486583,11.00466459,6.45E-20,6.17E-18,34.73710175
1277,1.724828,9.280306167,9.23554161,1.11E-15,4.11E-14,25.10962829
118932,1.72124175,7.944616708,9.505370417,2.53E-16,1.07E-14,26.56773299
27299,1.695461833,6.665819917,4.854074253,3.67E-06,2.00E-05,3.645829616
6273,1.695017333,8.070636667,6.347121464,4.03E-09,4.08E-08,10.26358658
10112,1.683247333,6.240243167,9.822602118,4.42E-17,2.20E-15,28.28896552
891,1.682561583,6.135874375,9.20845132,1.29E-15,4.70E-14,24.96359429
256714,1.67774,5.386376,8.332511314,1.48E-13,3.62E-12,20.28822199
7272,1.665107,5.259822667,8.082353885,5.62E-13,1.24E-11,18.97387424
100133941,1.66329725,9.625055458,8.888518837,7.35E-15,2.33E-13,23.24469536
1728,1.6550915,9.14695375,9.511569532,2.45E-16,1.04E-14,26.60130181
80078,1.651409833,5.58549575,7.296562229,3.44E-11,5.36E-10,14.9284408
55765,1.650581,9.1192055,9.052494124,3.01E-15,1.03E-13,24.12430436
415,1.64067,7.510812667,7.917767541,1.34E-12,2.73E-11,18.1154372
2810,1.634730667,10.98043617,7.212778174,5.29E-11,7.87E-10,14.5058612
100505989,1.634215167,5.077732417,6.983077839,1.71E-10,2.28E-09,13.35733736
653067 /// 653220,1.632972167,7.18599375,6.271740587,5.81E-09,5.67E-08,9.906222341
55165,1.620242333,5.732325333,7.927483056,1.28E-12,2.60E-11,18.16596226
9833,1.6180215,6.760406917,9.018726328,3.62E-15,1.22E-13,23.94291697
84740,1.6109295,5.969931167,10.46016251,1.31E-18,9.10E-17,31.76320493
1945,1.6109275,7.537319417,15.83148002,3.32E-31,4.64E-28,60.39239678
130367,1.6029035,7.608043667,7.983168903,9.51E-13,1.99E-11,18.45591851
6947,1.601164833,6.09623325,5.305016807,5.20E-07,3.41E-06,5.532730873
4316,1.599033167,9.39186575,7.252005042,4.33E-11,6.56E-10,14.70347413
1290,1.578489,9.421030667,8.759997813,1.48E-14,4.50E-13,22.55751278
3161,1.577388583,6.231547958,9.650082989,1.14E-16,5.19E-15,27.35209229
10551,1.573064,9.8695135,8.067772486,6.07E-13,1.33E-11,18.89761068
196410,1.564841167,7.28215025,10.42452098,1.60E-18,1.09E-16,31.5686491
4192,1.550871667,8.984080167,10.81399134,1.85E-19,1.58E-17,33.69557451
22974,1.539130667,6.512306333,8.684921746,2.22E-14,6.48E-13,22.15707568
8645,1.537349667,8.090328667,9.532341729,2.18E-16,9.38E-15,26.71380634
10874,1.537122667,6.279995333,9.543676172,2.05E-16,8.88E-15,26.77520845
3053,1.534261667,6.490238833,3.944635779,0.000134795,0.000516948,0.200024327
116028,1.531653333,7.344909333,12.44625914,2.29E-23,4.65E-21,42.58231563
6676,1.5241265,7.24910875,10.18752923,5.91E-18,3.50E-16,30.27577659
30001,1.522674333,8.652078333,9.464379077,3.17E-16,1.31E-14,26.3458349
24137,1.520885,6.199968167,8.518634688,5.44E-14,1.46E-12,21.27292112
7104,1.517472167,6.36527625,5.922992831,3.07E-08,2.61E-07,8.281758011
11065,1.5162875,7.787720083,9.50821757,2.49E-16,1.06E-14,26.58315024
563,1.493705833,8.06326725,3.925870592,0.000144451,0.000550791,0.134521383
84624,1.48816,6.3872825,6.480317078,2.10E-09,2.27E-08,10.9001499
3832,1.483664167,5.403418417,8.533142359,5.03E-14,1.36E-12,21.34989971
29968,1.46683475,6.537894792,10.78352662,2.19E-19,1.82E-17,33.52916041
1033,1.46414925,6.511883625,7.525430742,1.05E-11,1.80E-10,16.09204829
57016,1.462248667,5.279705333,5.368792472,3.92E-07,2.64E-06,5.808095788
51809,1.461895167,8.41678425,10.90496127,1.12E-19,1.01E-17,34.19250045
5002,1.459992333,8.681289,10.03768589,1.35E-17,7.53E-16,29.45926331
25878,1.457084833,9.747587417,8.119470403,4.61E-13,1.04E-11,19.16818012
