GSM494556	Lung Cancer 2T
GSM494557	Lung Cancer 3T
GSM494558	Lung Cancer 6T
GSM494559	Lung Cancer 17T
GSM494560	Lung Cancer 32T
GSM494561	Lung Cancer 33T
GSM494562	Lung Cancer 37T
GSM494563	Lung Cancer 40T
GSM494564	Lung Cancer 43T
GSM494565	Lung Cancer 79T
GSM494566	Lung Cancer 91T
GSM494567	Lung Cancer 92T
GSM494568	Lung Cancer 94T
GSM494569	Lung Cancer 97T
GSM494570	Lung Cancer 102T
GSM494571	Lung Cancer 103T
GSM494572	Lung Cancer 106T
GSM494573	Lung Cancer 109T
GSM494574	Lung Cancer 114T
GSM494575	Lung Cancer 115T
GSM494576	Lung Cancer 116T
GSM494577	Lung Cancer 117T
GSM494578	Lung Cancer 118T
GSM494579	Lung Cancer 119T
GSM494580	Lung Cancer 120T
GSM494581	Lung Cancer 121T
GSM494582	Lung Cancer 122T
GSM494583	Lung Cancer 123T
GSM494584	Lung Cancer 124T
GSM494585	Lung Cancer 125T
GSM494586	Lung Cancer 126T
GSM494587	Lung Cancer 127T
GSM494588	Lung Cancer 129T
GSM494589	Lung Cancer 130T
GSM494590	Lung Cancer 131T
GSM494591	Lung Cancer 132T
GSM494592	Lung Cancer 133T
GSM494593	Lung Cancer 134T
GSM494594	Lung Cancer 135T
GSM494595	Lung Cancer 136T
GSM494596	Lung Cancer 137T
GSM494597	Lung Cancer 139T
GSM494598	Lung Cancer 142T
GSM494599	Lung Cancer 143T
GSM494600	Lung Cancer 144T
GSM494601	Lung Cancer 145T
GSM494602	Lung Cancer 146T
GSM494603	Lung Cancer 148T
GSM494604	Lung Cancer 149T
GSM494605	Lung Cancer 152T
GSM494606	Lung Cancer 154T
GSM494607	Lung Cancer 156T
GSM494608	Lung Cancer 157T
GSM494609	Lung Cancer 158T
GSM494610	Lung Cancer 159T
GSM494611	Lung Cancer 165T
GSM494612	Lung Cancer 167T
GSM494613	Lung Cancer 177T
GSM494614	Lung Cancer 179T
GSM494615	Lung Cancer 189T
GSM494616	Lung Normal 2N
GSM494617	Lung Normal 3N
GSM494618	Lung Normal 6N
GSM494619	Lung Normal 17N
GSM494620	Lung Normal 32N
GSM494621	Lung Normal 33N
GSM494622	Lung Normal 37N
GSM494623	Lung Normal 40N
GSM494624	Lung Normal 43N
GSM494625	Lung Normal 79N
GSM494626	Lung Normal 91N
GSM494627	Lung Normal 92N
GSM494628	Lung Normal 94N
GSM494629	Lung Normal 97N
GSM494630	Lung Normal 102N
GSM494631	Lung Normal 103N
GSM494632	Lung Normal 106N
GSM494633	Lung Normal 109N
GSM494634	Lung Normal 114N
GSM494635	Lung Normal 115N
GSM494636	Lung Normal 116N
GSM494637	Lung Normal 117N
GSM494638	Lung Normal 118N
GSM494639	Lung Normal 119N
GSM494640	Lung Normal 120N
GSM494641	Lung Normal 121N
GSM494642	Lung Normal 122N
GSM494643	Lung Normal 123N
GSM494644	Lung Normal 124N
GSM494645	Lung Normal 125N
GSM494646	Lung Normal 126N
GSM494647	Lung Normal 127N
GSM494648	Lung Normal 129N
GSM494649	Lung Normal 130N
GSM494650	Lung Normal 131N
GSM494651	Lung Normal 132N
GSM494652	Lung Normal 133N
GSM494653	Lung Normal 134N
GSM494654	Lung Normal 135N
GSM494655	Lung Normal 136N
GSM494656	Lung Normal 137N
GSM494657	Lung Normal 139N
GSM494658	Lung Normal 142N
GSM494659	Lung Normal 143N
GSM494660	Lung Normal 144N
GSM494661	Lung Normal 145N
GSM494662	Lung Normal 146N
GSM494663	Lung Normal 148N
GSM494664	Lung Normal 149N
GSM494665	Lung Normal 152N
GSM494666	Lung Normal 154N
GSM494667	Lung Normal 156N
GSM494668	Lung Normal 157N
GSM494669	Lung Normal 158N
GSM494670	Lung Normal 159N
GSM494671	Lung Normal 165N
GSM494672	Lung Normal 167N
GSM494673	Lung Normal 177N
GSM494674	Lung Normal 179N
GSM494675	Lung Normal 189N
