source	target	w
COL10A1	P4HB	0.052625
MMP12	F12	0.080755
MMP12	PLAUR	0.0060759
MMP12	TFPI	0.038665
MMP1	MMP7	0.10215
MMP1	IGFBP3	0.087444
MMP1	TIMP1	0.13972
MMP1	ITGA2	0.063377
MMP1	COL2A1	0.017501
MMP1	TNFSF11	0.081384
MMP1	CCL13	0.010475
MMP1	BCAN	0.037582
MMP1	ACAN	0.017674
MMP1	CMA1	0.0028996
MMP1	TFPI	0.013697
MMP1	SERPINA3	0.0059887
MMP1	CCL2	5.0243e-06
GREM1	BMP2	0.039532
SPP1	MMP7	0.10466
SPP1	MMP3	0.099241
SPP1	ITGAV	0.040507
SPP1	UBQLN4	0.0081614
SPP1	CSNK2A1	0.0039144
SPP1	PDLIM7	0.0070455
SPP1	PRKG1	0.0086568
SPP1	CTNNBL1	0.0033329
SPP1	ACP5	0.010862
SPP1	ITGA5	0.02129
GJB2	GJB1	0.057826
GJB2	GJB6	0.11566
GJB2	CAV1	0.15072
CP	PROC	0.021325
CP	ATP7A	0.0046188
CP	MPO	0.015208
CRABP2	CCND3	0.017221
TOP2A	CDK1	0.21031
TOP2A	SRPK1	0.14848
TOP2A	HDAC1	0.10985
TOP2A	XPO1	0.035358
TOP2A	BRCA1	0.13841
TOP2A	TP53	0.019563
TOP2A	DFFB	0.0047225
TOP2A	SUMO4	0.076267
TOP2A	CSNK2A1	0.021719
TOP2A	RB1	0.0088268
TOP2A	PRKCB	0.040843
TOP2A	JUN	0.062604
COMP	COL2A1	0.048252
COMP	COL9A1	0.0095659
CXCL13	CCL19	0.14637
CXCL13	CXCR5	0.081788
CXCL13	CCL21	0.001737
CXCL13	FGF2	0.031825
THBS2	MMP9	0.071488
THBS2	THBS3	0.057636
THBS2	MMP2	0.0087335
ANLN	SEPT7	0.058856
RRM2	CDK1	0.28763
RRM2	CDH1	0.025509
RRM2	RRM1	0.095544
RRM2	TP53	0.02642
RGS17	OSTM1	0.013162
HABP2	COL4A3	0.028247
HABP2	COL4A6	0.055387
HABP2	COL4A5	0.04516
HABP2	COL4A4	0.027043
UHRF1	HIST1H2BB	0.0044582
COL3A1	HTRA1	0.12013
COL3A1	PCOLCE	0.1312
