gene	p
COL10A1	4.32e-30
MMP12	7.66e-15
MMP1	8.96e-11
GREM1	7.56e-13
SPP1	1.44e-24
GJB2	1.85e-15
CP	4.23e-12
CRABP2	5.05e-19
TOP2A	8.72e-16
COMP	8.51e-17
CXCL13	7.58e-07
THBS2	8.51e-17
ANLN	3.06e-14
RRM2	3.93e-14
RGS17	2.69e-14
HABP2	2.24e-15
UHRF1	2.31e-15
COL3A1	3.49e-16
MMP13	8.3e-11
COL1A2	4.44e-15
CDC20	9.39e-16
ZWINT	3.42e-18
SCG5	1.02e-12
BUB1B	4.22e-15
COL1A1	4.11e-14
S100A2	4.08e-08
CCNB1	4.7e-14
TTK	1.24e-11
CD24	2.33e-13
NQO1	1.04e-14
ARSE	2.73e-11
SFN	7.87e-10
CEP55	2.6e-11
MELK	1.22e-13
EFNA4	4.64e-28
MMP7	6.56e-10
COL5A2	4.5e-13
HMMR	5.19e-15
AGR2	1.33e-11
MDK	1.58e-17
TPX2	6.48e-13
NMU	8.88e-15
KIF4A	1.46e-12
UBE2C	1.06e-14
AZGP1	0.00055079
KIF11	1.36e-12
CDKN3	1.8e-10
UNC5CL	2.3e-12
MMP9	3.04e-06
NUF2	7.64e-11
PCDH7	3.46e-12
CDKN2A	2.52e-08
STK39	1.15e-19
PRC1	1.34e-11
FAP	4.41e-10
PBK	2.37e-08
PTTG1	2.24e-11
PTGFRN	3.33e-22
CLDN3	4.35e-08
CLDN2	1.73e-06
NCAPG	3.99e-12
THY1	3.61e-11
GFRA3	5.35e-10
KISS1R	3.62e-08
ENC1	5.79e-21
SOX9	4.48e-08
AURKA	5.62e-13
GRB14	7.21e-07
CD1A	1.28e-10
PLAU	2.28e-08
NDC80	3.86e-09
SIX1	2.51e-09
EZH2	5.42e-10
CDK1	1.3e-09
ACE2	2.65e-08
ETV4	9.98e-19
FOXM1	1.85e-10
NEK2	2.21e-12
COL5A1	3.45e-11
BACE2	5.83e-13
FHL2	8.82e-11
KRT15	4.09e-08
ST14	8.65e-16
SHCBP1	5.36e-11
NME1	1.34e-16
KIF2C	8.73e-12
DPP4	8.72e-09
LCN2	5.77e-05
IGSF9	9.73e-16
F2RL1	1.13e-11
IGFBP3	2.49e-07
CLEC5A	1.97e-08
MCM2	9.45e-15
NT5E	2.37e-11
MFAP2	5.97e-11
SFRP2	0.0020065
CCNA2	7.1e-10
PAICS	1.39e-10
KRT6A	0.00082282
PAFAH1B3	4.29e-19
GMNN	2.39e-17
BLNK	6.02e-11
ECM1	1.23e-08
TK1	3.07e-12
EEF1A2	1.19e-08
HOXB7	1.82e-07
LSR	3.4e-16
KIF15	1.4e-08
PRDX4	3.91e-18
DSP	0.00013231
MMP10	6.75e-05
EPCAM	3.54e-09
BIK	5.81e-10
EGF	2.43e-12
MAD2L1	3.49e-06
STEAP3	8.39e-12
EGLN3	3.85e-08
GOLM1	4.32e-30
HOOK1	5.04e-11
PDIK1L	6.57e-12
FRK	1.17e-12
HJURP	9.24e-11
DOK5	3.47e-10
SOX4	1.94e-11
TWIST1	7.13e-05
CLDN1	1.98e-06
FA2H	1.53e-10
SPAG5	2.02e-11
PC	5.4e-13
GINS2	3.63e-14
RAB25	6.87e-09
FAT1	2.3e-09
POLE2	8.84e-10
CDC6	5.93e-09
TRIM2	2.77e-12
CDCA5	7.06e-12
RAD51AP1	4.17e-08
FANCI	7.88e-11
SPOCK1	7.08e-05
LGALS3BP	3.4e-10
GALNT10	3.26e-10
FOXA3	3.05e-07
PODXL2	4.68e-15
DSG2	2.06e-05
FERMT1	6.02e-11
MAGED1	2.78e-17
CA9	1.58e-06
TNFRSF17	0.0023999
LMNB1	1.43e-07
AGT	2.96e-05
MKI67	4.77e-10
FEN1	2.5e-12
HOXC10	5.42e-06
COL17A1	8.94e-09
SPC25	6.64e-08
TNFRSF21	5.64e-08
GJB1	1.5e-11
VCAN	2.27e-05
RAMP1	1.59e-09
AQP5	0.00023914
RAB38	1.45e-08
LOXL1	1.07e-09
MUC1	4.02e-05
KPNA2	1.78e-11
RFC4	1.23e-09
SLC2A1	4.8e-09
MIF	4.06e-17
CEACAM1	3.11e-09
SERPINH1	1.78e-10
NANOS1	9.62e-07
GRHL2	2.35e-12
DAP	3.9e-17
CTTN	9.08e-14
CDH1	4.31e-07
GORAB	1.21e-14
ADAM12	4.19e-09
TIMP1	3.09e-10
GYG2	4.64e-15
RCC1	6.33e-16
STAP2	1.09e-12
CENPF	1.13e-08
CKS1B	1.57e-10
H1F0	4.12e-12
ASF1B	1.08e-09
AP1M2	3.98e-09
EPN3	6.02e-14
HIST1H2AE	2.54e-06
DHFR	1.29e-13
SLC6A8	2.51e-08
CHEK1	4e-09
PTPRZ1	0.0021256
AIFM1	3.38e-16
FNTB	1e-07
EYA2	9.01e-06
C4BPB	8.21e-06
SMYD3	1.36e-17
BIRC5	2.93e-10
MMP3	1.79e-06
PRSS2	0.0036075
TXNDC17	9.97e-15
BAIAP2L1	7.66e-12
SRPRB	1.1e-12
TMED10	4.96e-15
MTX2	1.18e-12
CDCA8	9.36e-12
GALNT14	3.64e-07
LRP8	4.78e-07
ADORA2B	1.59e-05
BRCC3	1.91e-09
PPP1R1B	0.00090288
SYTL1	5.44e-07
GPC4	3.56e-07
IFI6	0.00014163
ENO1	1.57e-06
CENPE	4.32e-07
PCNA	4.42e-11
NCAPG2	1.73e-08
P4HB	3.45e-06
NLN	2.18e-18
RACGAP1	3.17e-07
BCL11A	1.07e-06
CHMP4C	1.46e-06
PIGM	8.51e-13
GPI	1.41e-12
LDOC1	6.04e-08
PPFIBP2	6.09e-10
ITGA2	6.98e-06
SHMT2	7.35e-11
CCNO	1.94e-09
CHGB	0.0027312
SOX11	1.49e-05
CHPF	2.29e-15
ATP1B1	1.89e-08
OIP5	2.73e-05
HIST1H1C	3.14e-05
PLA2G7	0.0049505
ZG16B	0.0053218
NIPSNAP1	2.4e-15
KRT14	0.0030636
KDM5B	3.54e-12
CCNE2	3.39e-06
SRPX2	2.99e-13
SPINT2	9.37e-11
KNTC1	2.82e-08
CCL19	0.0211
EPHB3	4.09e-09
CCT6A	4.05e-11
MST1R	6.81e-10
NELL1	5.42e-08
EFNA5	2.37e-07
GALNT2	5.43e-12
HOXA10	8.36e-07
PIAS3	2.46e-14
COL6A3	8.09e-06
CFB	1.14e-09
FGF13	6.83e-05
KRT8	3.96e-05
TOM1L1	3.3e-09
MUC16	0.0005788
CDT1	9.35e-09
LRRC8D	3.96e-16
ACTL6A	2.55e-09
PDZD11	4.71e-19
RPA3	1.33e-09
DLG3	9.48e-12
NME4	5.46e-16
ALDOA	5.74e-15
MST1	3.73e-07
HES6	1.26e-08
TFAP2A	2.27e-09
AKR1A1	1.41e-12
SRPK1	9.45e-14
TUBG1	3.75e-11
DBF4	8.28e-06
COL9A3	2.3e-07
TRIP13	7.68e-05
HMBS	1.43e-14
CENPH	3.17e-06
FGB	0.00061977
CXXC5	6.1e-10
DUSP23	1.31e-10
SIX4	1.84e-13
HSPB1	1.2e-07
RAP1GAP	1.97e-08
STX6	6.03e-10
DPP3	3.3e-15
BRIP1	1.02e-09
METTL1	2.71e-06
PPIC	1.16e-11
AP1S1	1.38e-06
EPHB2	4.42e-12
USP18	1.47e-08
GSTZ1	2.81e-09
SIL1	3.73e-10
CASK	3.46e-06
PDIA6	2.95e-13
PLA2G4A	0.0055937
TNPO1	3.66e-13
GOT2	6.27e-13
PTK6	9.19e-10
ILF2	4.13e-10
TTC8	2.44e-09
MMP14	7.69e-09
CABYR	2.8e-09
MYBL2	2.19e-09
RAB26	2.51e-12
TNFRSF11A	9.88e-07
SLC9A7	2.7e-09
CD79A	8.27e-05
BARD1	4.11e-06
HDAC1	8.11e-11
ITPKA	4.51e-09
NEU1	4.26e-08
CCL28	2.24e-07
RAB15	8.57e-07
PMEPA1	1.6e-05
CASP6	8.55e-11
PAK1	2.49e-08
DCTPP1	7.15e-14
GARS	4.47e-10
CDK5	3.62e-12
PTPRH	9.55e-09
COASY	1.41e-09
COL18A1	3.07e-06
EPS8	1.03e-06
WISP1	0.0003395
TACC3	2.43e-07
MCM4	1.09e-06
FANCL	4.49e-07
TFAP2C	3.67e-08
CKAP4	4.29e-08
GGCX	2.54e-08
MYO6	2.17e-05
POLR2H	1.6e-11
EIF4EBP1	2.17e-07
STMN2	1.43e-11
STT3A	7.87e-06
ALDOC	1.63e-08
KCNK1	5.14e-07
SLC25A10	7.35e-17
CD27	0.00010481
SLC9A3R1	3.72e-07
PFN2	0.00013444
FGD6	0.0030859
NGEF	1.19e-13
BSPRY	5.52e-06
MTX1	9.08e-11
PTPRF	8.05e-06
NUP155	8.56e-07
GJB6	0.016467
LYPLA2	3.33e-11
HNF4G	1.88e-07
SDSL	9.5e-09
ISG15	0.0025061
CKS2	0.00092393
EIF2AK1	2.3e-12
ABCA4	3.27e-10
PARP1	9.58e-15
GSS	2.46e-13
SMAD1	6.85e-07
WNT5A	0.0027582
LSM5	8.57e-06
EGFR	0.00021999
HMGA1	7.98e-09
PDK1	5.77e-07
PKP3	4.47e-08
PPP1R16A	6.25e-05
CNKSR1	1.11e-09
ITM2C	1.97e-08
LDHA	9e-14
GAPDH	1.79e-13
HPN	4.45e-05
EPRS	9.38e-05
BCKDK	1.97e-10
YKT6	8.4e-09
PIGU	7.26e-11
PRMT3	5.79e-06
CCHCR1	8.19e-11
CHTF18	9.78e-07
CBX3	6.58e-10
DTL	0.008321
NUP62CL	1.33e-08
PTHLH	0.008736
AQP3	0.0065473
DNAJA3	7.48e-14
RAD54L	1.15e-05
AIMP2	4.3e-12
GOLGA5	2.51e-09
PABPN1	0.0035125
KIF23	2.52e-07
MAL2	0.0022514
KIAA0907	5.83e-07
MEGF10	6.1e-06
RPN2	4.48e-11
XPO1	4.92e-05
PIGR	0.0059501
TPD52	0.0083417
NUDT21	9.8e-05
NOX4	0.00014603
DNMT3B	4.48e-08
TESC	5.47e-06
KAT2A	4.25e-07
ANXA9	5.37e-08
TPI1	6.97e-11
GALNT12	0.00033217
AKR7A3	1.65e-06
GAD1	7.53e-07
GORASP2	1.16e-17
FH	2.43e-13
BMF	1.08e-09
GAL3ST4	4.97e-08
TRIM24	3.99e-08
CSTF2	3.33e-10
PLK1	4.08e-06
MEN1	7.34e-10
CCNE1	1.65e-10
SIX2	7.54e-08
TRAF4	1.29e-11
CREB3L1	1.27e-05
PRMT5	1.13e-08
CPSF3	7.98e-11
AGA	0.00033078
ELL3	3.97e-10
PDCD6	0.0071034
CHEK2	4.38e-08
MUC13	0.00045272
CHAF1B	8.2e-12
TREM2	0.0023389
DPY30	6.81e-07
MPZL1	4.08e-05
PIM2	2.36e-05
SLC9A1	2.87e-08
RAD54B	4.04e-05
LCT	6.02e-05
SMUG1	3.79e-07
APEX1	4.25e-11
RER1	2.66e-12
HTR3A	0.00014623
CCL22	2.12e-05
COL9A2	7.91e-08
ZNF239	3.64e-08
GPX7	0.0013691
TGFBI	2.1e-05
BAK1	7.11e-11
PPP2R3A	2.95e-06
TSPAN1	0.025246
KRT6B	0.0028492
POLD2	5.4e-08
PTPRU	3e-09
SLC12A2	0.0014434
PRSS8	0.0040951
GDE1	9.28e-06
TRPM2	3.06e-10
KRT20	0.043498
MEA1	4.18e-11
