"##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc"								
##Statistical test method: hypergeometric test / Fisher's exact test								
##FDR correction method: Benjamini and Hochberg								
								
#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Hepatitis B	KEGG PATHWAY	hsa05161	16	163	1.47E-16	1.42E-13	IRF3|TICAM1|TP53|PIK3CA|RB1|TLR3|NFATC4|TNF|PIK3R3|IRF7|BAX|IKBKE|E2F3|MAVS|CREBBP|IKBKG	http://www.genome.jp/kegg-bin/show_pathway?hsa05161/hsa:3665%09red/hsa:5925%09red/hsa:8503%09red/hsa:3661%09red/hsa:1871%09red/hsa:7098%09red/hsa:1387%09red/hsa:4776%09red/hsa:581%09red/hsa:7157%09red/hsa:57506%09red/hsa:5290%09red/hsa:148022%09red/hsa:9641%09red/hsa:8517%09red/hsa:7124%09red
Human T-cell leukemia virus 1 infection	KEGG PATHWAY	hsa05166	17	219	6.11E-16	2.94E-13	MAD2L1|MAML2|TP53|TCF3|PIK3CA|KAT2B|RB1|PTEN|NFATC4|TNF|PIK3R3|IKBKG|BAX|E2F3|MAP3K14|ETS1|CREBBP	http://www.genome.jp/kegg-bin/show_pathway?hsa05166/hsa:2113%09red/hsa:5925%09red/hsa:8503%09red/hsa:7124%09red/hsa:5290%09red/hsa:8850%09red/hsa:4776%09red/hsa:581%09red/hsa:7157%09red/hsa:5728%09red/hsa:1871%09red/hsa:6929%09red/hsa:8517%09red/hsa:23373%09red/hsa:1387%09red/hsa:4085%09red/hsa:9020%09red
Immune System	Reactome	R-HSA-168256	41	2096	9.35E-16	3.00E-13	CD55|IKBKE|PSMD4|FBXO11|BIRC2|FOXO1|IKBKG|ADAM17|S100A11|S100A12|S100B|TICAM1|SUGT1|PTEN|PIK3CA|PIK3R3|MNDA|MBL2|RANBP2|MVP|IRF3|FRK|PGM1|TXLNA|AGER|VCP|TNF|IRF7|TRIP12|SERPINB2|FBXO7|UBE4A|RNF216|TP53|IL16|TLR3|CD14|MAP3K14|EDAR|MAVS|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168256
Hepatitis C	KEGG PATHWAY	hsa05160	14	155	3.55E-14	8.54E-12	IRF3|TICAM1|TP53|PIK3CA|RB1|TLR3|TNF|PIK3R3|IRF7|BAX|IKBKE|E2F3|MAVS|IKBKG	http://www.genome.jp/kegg-bin/show_pathway?hsa05160/hsa:3665%09red/hsa:5925%09red/hsa:8503%09red/hsa:3661%09red/hsa:1871%09red/hsa:7098%09red/hsa:581%09red/hsa:7157%09red/hsa:57506%09red/hsa:5290%09red/hsa:148022%09red/hsa:9641%09red/hsa:8517%09red/hsa:7124%09red
Gene expression (Transcription)	Reactome	R-HSA-74160	32	1448	9.24E-14	1.78E-11	PSMD4|KAT2B|BAX|FKBP5|FOXO1|SOX9|CBX4|EHMT2|TFAP2C|RB1|TRIAP1|CBFB|MED17|CITED2|RANBP2|SMARCB1|TCF3|ZNF521|PPM1D|THOC1|UBE2I|NFIA|RBBP8|TP53|LMO2|PTEN|RAD51|TCF12|PTRF|PLAGL1|CCNH|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74160
Kaposi sarcoma-associated herpesvirus infection	KEGG PATHWAY	hsa05167	14	186	3.64E-13	5.00E-11	IRF3|TICAM1|TP53|PIK3CA|RB1|TLR3|NFATC4|PIK3R3|IRF7|BAX|IKBKE|E2F3|CREBBP|IKBKG	http://www.genome.jp/kegg-bin/show_pathway?hsa05167/hsa:3665%09red/hsa:5925%09red/hsa:8503%09red/hsa:3661%09red/hsa:1871%09red/hsa:7098%09red/hsa:1387%09red/hsa:4776%09red/hsa:581%09red/hsa:7157%09red/hsa:5290%09red/hsa:148022%09red/hsa:8517%09red/hsa:9641%09red
Transcriptional misregulation in cancer	KEGG PATHWAY	hsa05202	14	186	3.64E-13	5.00E-11	TP53|CEBPE|TCF3|LMO2|ID2|SIX1|FOXO1|RUNX2|DDX5|CD14|RUNX1T1|BAX|PAX8|ETV4	http://www.genome.jp/kegg-bin/show_pathway?hsa05202/hsa:1655%09red/hsa:4005%09red/hsa:581%09red/hsa:862%09red/hsa:2118%09red/hsa:860%09red/hsa:1053%09red/hsa:7157%09red/hsa:3398%09red/hsa:6929%09red/hsa:7849%09red/hsa:6495%09red/hsa:929%09red/hsa:2308%09red
Epstein-Barr virus infection	KEGG PATHWAY	hsa05169	14	201	9.77E-13	1.05E-10	IRF3|E2F3|PSMD4|IKBKE|MAP3K14|RB1|TNF|PIK3R3|IRF7|BAX|PIK3CA|TP53|MAVS|IKBKG	http://www.genome.jp/kegg-bin/show_pathway?hsa05169/hsa:3665%09red/hsa:5925%09red/hsa:8503%09red/hsa:3661%09red/hsa:1871%09red/hsa:5290%09red/hsa:581%09red/hsa:7157%09red/hsa:57506%09red/hsa:5710%09red/hsa:8517%09red/hsa:9641%09red/hsa:7124%09red/hsa:9020%09red
Generic Transcription Pathway	Reactome	R-HSA-212436	28	1193	9.80E-13	1.05E-10	PSMD4|KAT2B|BAX|FKBP5|FOXO1|SOX9|CBX4|EHMT2|TFAP2C|RB1|TRIAP1|CBFB|MED17|CITED2|SMARCB1|TCF3|PPM1D|UBE2I|ZNF521|RBBP8|TP53|LMO2|PTEN|RAD51|TCF12|PLAGL1|CCNH|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-212436
RNA Polymerase II Transcription	Reactome	R-HSA-73857	29	1316	1.66E-12	1.60E-10	PSMD4|KAT2B|BAX|FKBP5|FOXO1|SOX9|CBX4|EHMT2|TFAP2C|RB1|TRIAP1|CBFB|MED17|CITED2|SMARCB1|TCF3|PPM1D|THOC1|UBE2I|ZNF521|RBBP8|TP53|LMO2|PTEN|RAD51|TCF12|PLAGL1|CCNH|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73857
Innate Immune System	Reactome	R-HSA-168249	26	1043	1.87E-12	1.64E-10	CD55|PSMD4|BIRC2|IKBKG|IKBKE|S100A11|S100A12|MBL2|TICAM1|SUGT1|PIK3CA|MNDA|S100B|MVP|FRK|PGM1|AGER|VCP|IRF3|RNF216|IRF7|TLR3|CD14|MAP3K14|MAVS|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168249
DDX58/IFIH1-mediated induction of interferon-alpha/beta	Reactome	R-HSA-168928	10	78	7.26E-12	5.82E-10	IRF3|S100A12|IRF7|AGER|RNF216|IKBKG|IKBKE|MAVS|CREBBP|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168928
Influenza A	KEGG PATHWAY	hsa05164	12	167	3.05E-11	2.26E-09	IRF3|TICAM1|IRF7|PIK3CA|BAX|TLR3|TNF|PIK3R3|IKBKG|IKBKE|MAVS|CREBBP	http://www.genome.jp/kegg-bin/show_pathway?hsa05164/hsa:3665%09red/hsa:8517%09red/hsa:8503%09red/hsa:3661%09red/hsa:7124%09red/hsa:7098%09red/hsa:1387%09red/hsa:581%09red/hsa:57506%09red/hsa:5290%09red/hsa:148022%09red/hsa:9641%09red
Toll Like Receptor 3 (TLR3) Cascade	Reactome	R-HSA-168164	10	93	3.58E-11	2.47E-09	IRF3|TICAM1|IRF7|BIRC2|AGER|TLR3|IKBKG|IKBKE|S100A12|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168164
MyD88-independent TLR4 cascade 	Reactome	R-HSA-166166	10	98	5.77E-11	3.47E-09	IRF3|TICAM1|IRF7|BIRC2|AGER|CD14|IKBKG|IKBKE|S100A12|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-166166
TRIF(TICAM1)-mediated TLR4 signaling 	Reactome	R-HSA-937061	10	98	5.77E-11	3.47E-09	IRF3|TICAM1|IRF7|BIRC2|AGER|CD14|IKBKG|IKBKE|S100A12|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-937061
Toll-like receptor signaling pathway	KEGG PATHWAY	hsa04620	10	104	9.92E-11	5.62E-09	IRF3|TICAM1|IRF7|PIK3CA|TLR3|CD14|TNF|PIK3R3|IKBKG|IKBKE	http://www.genome.jp/kegg-bin/show_pathway?hsa04620/hsa:3665%09red/hsa:8517%09red/hsa:8503%09red/hsa:3661%09red/hsa:7124%09red/hsa:7098%09red/hsa:5290%09red/hsa:148022%09red/hsa:929%09red/hsa:9641%09red
Toll-like Receptor Cascades	Reactome	R-HSA-168898	11	154	2.20E-10	1.18E-08	IRF3|TICAM1|IRF7|BIRC2|AGER|TLR3|CD14|IKBKG|IKBKE|S100A12|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168898
Cellular senescence	KEGG PATHWAY	hsa04218	11	160	3.23E-10	1.64E-08	E2F3|FOXM1|PIK3CA|FOXO1|RB1|PTEN|NFATC4|ETS1|PIK3R3|TP53|BRF1	http://www.genome.jp/kegg-bin/show_pathway?hsa04218/hsa:2113%09red/hsa:5925%09red/hsa:8503%09red/hsa:5290%09red/hsa:4776%09red/hsa:677%09red/hsa:7157%09red/hsa:5728%09red/hsa:1871%09red/hsa:2305%09red/hsa:2308%09red
@@Cellular Senescence	Reactome	R-HSA-2559583	6	194	0.000275906	0.001783202	EHMT2|E2F3|RB1|ETS1|TP53|CBX4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2559583
