##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Signal Transduction	Reactome	R-HSA-162582	239	2689	2.51084115055e-64	4.39397201346e-61	AVPR1B|MYH10|RPN2|AVPR1A|IL1RL1|NOXO1|HDAC3|AKT1|AKT3|CRK|IKBKG|HDAC5|TYK2|CAV2|AXL|CAV1|TIAM1|PSMA1|GRK5|GNG11|PARD6A|NTRK3|CBFB|PHC1|TLE2|PLXND1|MYC|PIP4K2A|FOSB|PIP4K2C|NR5A2|IGF1R|TEP1|ARHGEF15|IFT57|SP1|DUSP7|CAMK2B|SCG2|SH2D2A|RAP1A|CXCL12|PAFAH1B1|TERT|ADCY3|PPP2CA|PHB|AVPR2|RBBP7|KIT|SFN|RUNX3|CYLD|GRB7|WNT2|CTBP1|TLR9|WNT7A|TGFBR2|RASGRP2|CCDC88C|AES|STMN1|RASGRP4|DOCK3|METAP2|GAB2|KAT2B|KHDRBS2|CLTA|EED|RBBP4|SKI|ARHGEF10L|THEM4|RUVBL1|CHD4|DDX5|SH3GL1|TUBA1A|JUN|MST1|FMNL1|GRAP2|PIK3R3|PIK3R2|PIK3R1|GRM5|KSR2|MYD88|AMOTL2|GRM2|CHEK1|TCF4|ACVRL1|ANGPT1|STAT6|CDC25C|KIF18A|BRCC3|PMEPA1|PPARG|TEK|PTPN3|PTPN6|RPS6KA2|TP53|PDE4D|CDC14A|PSMD13|RBCK1|PIK3CA|PPP2R5D|BAIAP2|FSTL3|RALA|PPP2R5C|HDAC1|SNX3|NCF1|TUBA8|YY1|HDAC7|HDAC6|PAG1|TLE1|RET|TLE4|PRKAR2B|MAPK11|ARRB1|PSMD9|PDE3B|TSC2|NCOR1|H2AFX|NCOA1|PIP5K1B|FZD9|NEDD4|CNKSR2|CFLAR|MAPK1|DUSP9|NFKB1|MAPK8|DLC1|DUSP3|DUSP2|SRC|RALGDS|KHDRBS1|PHC2|RXRA|UBE2D3|ADCY8|FER|SH2B3|HEY2|ARHGAP29|HEY1|SFRP2|IL2RA|IL2RB|SFRP1|CDH5|ATP6V1E1|FOXO1|IRS2|WNT4|STAT5B|ADRB2|EZH2|AATF|TBP|CDK9|CUL3|MAD2L1|ITGB3BP|NOXA1|CTTN|TNFAIP3|CD55|PSMD4|FOXO4|BIRC2|AGRN|PLCG2|ADAM12|RIPK2|GTF2A1|GTF2A2|ADAM17|NDE1|SPTBN4|SMARCA4|SOX4|SHC1|CREBBP|ARAP1|WASF3|MAD1L1|FAS|FYN|UHMK1|GRAP|PEA15|DVL1|RGS3|PSMC1|DGKA|PSMC4|PSMC5|PSMC6|PRKCH|TRIM27|TRAF6|HSPB1|RTN4|NR4A1|PRKCE|VCP|RNF31|IL33|MST1R|STAT5A|PBX1|PTPRU|E2F4|E2F3|E2F1|PPP1CA|SOX9|TIA1|GRIN2B|NEDD4L|BTK|CD19|MYO7A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162582
Immune System	Reactome	R-HSA-168256	201	2096	3.69387754855e-58	3.23214285498e-55	TRIM11|PTGS2|RPN2|IL1RL1|GHR|LAT2|KIR2DS2|HSPA9|HUWE1|AKT1|AKT3|CD226|LIFR|IL27|TYK2|MS4A2|MRC1|MAP3K8|DOK3|TYROBP|PSMA1|RORA|IRAK3|MYC|KIF18A|RNF216|CUL3|FCAR|CD33|TEP1|SHC1|IL31RA|TRIM25|MUC1|OASL|CAMK2B|RAP1A|SIGLEC11|KIR3DS1|FBXO7|ANGPT1|SOCS2|PPP2CA|PHB|RBBP6|KIT|TLR3|TLR1|BST1|TLR4|TLR8|MAVS|IKBKG|TNFSF13|RASGRP4|TRIM31|TREM2|GAB2|UBE2D3|TNFRSF17|LAIR1|CRK|XRCC6|THEM4|PRLR|OSCAR|TUBA1A|JUN|MTCP1|PILRA|GRAP2|PIK3R3|PIK3R2|PIK3R1|CYLD|KSR2|MYD88|PTPRN2|IL4R|CLEC5A|NCR3|BLK|TRPC1|PTPN6|PTPN5|CR2|BTK|RPS6KA2|TLR9|TP53|IRF8|TNFAIP3|KIR2DL3|PSMD13|CD14|HECW2|PIK3CA|PPP2R5D|BAIAP2|IL15RA|IL17RB|RALA|PPP2R5C|IL7R|NCF1|TUBA8|PAG1|RET|CD300LF|PRKCSH|TREM1|MAPK11|ARRB1|PSMD9|IL1B|PDE3B|RAF1|RNF4|CD79A|STAT6|TEK|ZBTB16|CD81|NEDD4|CNKSR2|MAPK1|DUSP9|ICAM1|PSMD4|NFKB1|MAPK8|DLC1|HMGB1|DUSP3|DUSP2|SRC|CD59|CD8A|CD19|DUSP7|IL2RA|IL2RB|ITK|PLCG2|DAPP1|ATP6V1E1|IL15|IRS2|STAT5B|STAT5A|PIAS1|CLTA|PPIA|IL27RA|MT2A|KLRD1|CD55|PLAUR|RASGRP2|TSLP|BIRC2|MSN|FOXO1|RIPK2|MCL1|ADAM17|SPTBN4|SMARCA4|MBL2|CREBBP|TXK|CEBPD|FYN|MAOA|IMPDH2|FBXO11|PEA15|ZAP70|PSMC1|PSMC4|PSMC5|PSMC6|RBCK1|TRAF6|CARD11|PRKCE|THOP1|VCP|IL33|LCP2|SELL|OLR1|WASF3|CLEC4A|GRIN2B|NEDD4L|PTPRC|PTPRB|BCL6|MGAM|TPR	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168256
Gene expression (Transcription)	Reactome	R-HSA-74160	160	1448	4.6688429279e-53	2.72349170794e-50	RPN2|ZFPM1|SCG2|AKT1|AKT3|LIFR|HDAC5|CAV1|PSMA1|DNMT1|THRB|RORA|THRA|CBFB|PHC1|SAP18|PHC2|MYC|PIP4K2A|PIP4K2C|BRCA1|ZNF205|TEP1|SP1|RFFL|CAMK2B|TPR|RYBP|GATA2|PPP2CA|RBBP7|RXRA|KIT|SFN|RUNX3|CHEK1|CCNH|KDM5B|H2AFX|KAT2B|NDRG1|RBBP4|SKI|DAXX|PPM1D|XPO5|CHD4|JUN|PPARGC1A|PPARGC1B|TRIAP1|GTF2B|ZNF764|CHEK2|NR1H2|NPPA|TCF4|SIRT1|TCF3|CDC25C|PAX5|PPARG|BLK|BRF2|UBE2I|PLAGL1|TP53|TAF2|TAF1|TBP|G6PD|ESRRA|PSMD13|PRDM1|CREBBP|PPP2R5C|HDAC1|HDAC3|YY1|HDAC7|HDAC6|UBE2D3|MAPK11|BRIP1|CBX5|TSC2|NCOR1|TP63|SPI1|BTG1|DLX5|NR2F1|MAPK1|CITED2|ZNF439|SRC|DDX21|TCEA1|SATB2|MNAT1|HEY2|HEY1|IL2RA|E2F1|TP73|CTGF|SOX9|CDK7|CDK9|GLS2|HIVEP3|PSMD9|TCEB3|PSMD4|ERCC2|PRDX2|NFYB|FOXO1|EZH2|GTF2A1|GTF2A2|FOXO4|ELF1|SMARCA4|CCNA2|ZNF559|CCNA1|FAS|TFAP2C|AURKA|PSMC1|MSX2|PSMC4|PSMC5|PSMC6|SIN3A|DNMT3B|ESRRG|SMARCB1|GTF2E1|SUV39H1|NR4A3|GTF2H1|NR4A1|GTF2H5|GTF2H4|TP53BP2|ZNF607|E2F6|NFIA|E2F4|TOPBP1|EED|MEAF6|CSTF1|EPC1|GRIN2B|NEDD4L|PTRF|BCL6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74160
Generic Transcription Pathway	Reactome	R-HSA-212436	145	1193	1.74048093407e-52	7.61460408657e-50	RPN2|ZFPM1|SCG2|AKT1|AKT3|LIFR|HDAC5|CAV1|PSMA1|THRB|RORA|THRA|CBFB|PHC1|PHC2|MYC|PIP4K2A|PIP4K2C|BRCA1|ZNF205|TEP1|SP1|RFFL|CAMK2B|RYBP|GATA2|PPP2CA|RBBP7|RBBP4|SFN|RUNX3|CHEK1|CCNH|KDM5B|H2AFX|KAT2B|NDRG1|KIT|SKI|DAXX|PPM1D|CHD4|JUN|PPARGC1A|PPARGC1B|TRIAP1|ZNF764|CHEK2|NR1H2|NPPA|TCF4|SIRT1|TCF3|CDC25C|PAX5|PPARG|BLK|UBE2I|PLAGL1|TP53|TAF2|TAF1|TBP|G6PD|ESRRA|PSMD13|PRDM1|CREBBP|PPP2R5C|HDAC1|HDAC3|YY1|HDAC7|HDAC6|UBE2D3|MAPK11|BRIP1|CBX5|TSC2|NCOR1|TP63|SPI1|BTG1|DLX5|NR2F1|MAPK1|CITED2|ZNF439|SRC|RXRA|TCEA1|SATB2|MNAT1|HEY2|HEY1|IL2RA|E2F1|TP73|CTGF|SOX9|CDK7|CDK9|GLS2|HIVEP3|PSMD9|TCEB3|PSMD4|ERCC2|PRDX2|NFYB|FOXO1|EZH2|FOXO4|ELF1|SMARCA4|CCNA2|ZNF559|CCNA1|FAS|TFAP2C|AURKA|PSMC1|MSX2|PSMC4|PSMC5|PSMC6|SIN3A|ESRRG|SMARCB1|NR4A3|GTF2H1|NR4A1|GTF2H5|GTF2H4|TP53BP2|ZNF607|E2F6|E2F4|TOPBP1|EED|MEAF6|EPC1|GRIN2B|NEDD4L|BCL6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-212436
RNA Polymerase II Transcription	Reactome	R-HSA-73857	150	1316	3.69704517411e-51	1.29396581094e-48	RPN2|ZFPM1|SCG2|AKT1|AKT3|LIFR|HDAC5|CAV1|PSMA1|THRB|RORA|THRA|CBFB|PHC1|PHC2|MYC|PIP4K2A|PIP4K2C|BRCA1|ZNF205|TEP1|SP1|RFFL|CAMK2B|RYBP|GATA2|PPP2CA|RBBP7|RBBP4|SFN|RUNX3|CHEK1|CCNH|KDM5B|H2AFX|KAT2B|NDRG1|KIT|SKI|DAXX|PPM1D|CHD4|JUN|PPARGC1A|PPARGC1B|TRIAP1|GTF2B|ZNF764|CHEK2|NR1H2|NPPA|TCF4|SIRT1|TCF3|CDC25C|PAX5|PPARG|BLK|UBE2I|PLAGL1|TP53|TAF2|TAF1|TBP|G6PD|ESRRA|PSMD13|PRDM1|CREBBP|PPP2R5C|HDAC1|HDAC3|YY1|HDAC7|HDAC6|UBE2D3|MAPK11|BRIP1|CBX5|TSC2|NCOR1|TP63|SPI1|BTG1|DLX5|NR2F1|MAPK1|CITED2|ZNF439|SRC|RXRA|TCEA1|SATB2|MNAT1|HEY2|HEY1|IL2RA|E2F1|TP73|CTGF|SOX9|CDK7|CDK9|GLS2|HIVEP3|PSMD9|TCEB3|PSMD4|ERCC2|PRDX2|NFYB|FOXO1|EZH2|GTF2A1|GTF2A2|FOXO4|ELF1|SMARCA4|CCNA2|ZNF559|CCNA1|FAS|TFAP2C|AURKA|PSMC1|MSX2|PSMC4|PSMC5|PSMC6|SIN3A|ESRRG|SMARCB1|GTF2E1|NR4A3|GTF2H1|NR4A1|GTF2H5|GTF2H4|TP53BP2|ZNF607|E2F6|E2F4|TOPBP1|EED|MEAF6|CSTF1|EPC1|GRIN2B|NEDD4L|BCL6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73857
Cytokine Signaling in Immune system	Reactome	R-HSA-1280215	110	836	1.4515911804e-42	4.2338076095e-40	PTGS2|RPN2|IL1RL1|GHR|HSPA9|AKT1|LIFR|IL27|TYK2|MAP3K8|PIK3CA|RORA|IRAK3|MYC|CUL3|SHC1|IL31RA|TRIM25|MUC1|OASL|CAMK2B|RAP1A|ANGPT1|SOCS2|PPP2CA|PHB|KIT|MAPK1|TLR9|IKBKG|TNFSF13|RASGRP4|TRIM31|GAB2|TNFRSF17|CRK|THEM4|PRLR|JUN|PIK3R3|PIK3R2|PIK3R1|KSR2|MYD88|IL4R|PTPN6|PTPN5|RPS6KA2|TP53|IRF8|PSMD13|MAOA|PPP2R5D|IL15RA|IL17RB|RALA|PPP2R5C|IL7R|RET|MAPK11|ARRB1|PSMD9|IL1B|PDE3B|STAT6|TEK|NEDD4|CNKSR2|PSMA1|DUSP9|ICAM1|NFKB1|MAPK8|DUSP3|DUSP2|SRC|DUSP7|IL2RA|IL2RB|IL15|IRS2|STAT5B|STAT5A|PIAS1|PPIA|MT2A|PSMD4|HMGB1|TSLP|BIRC2|MSN|FOXO1|RIPK2|MCL1|ADAM17|SPTBN4|SMARCA4|CEBPD|FYN|PEA15|PSMC1|PSMC4|PSMC5|PSMC6|TRAF6|IL33|IL27RA|GRIN2B|BCL6|TPR	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1280215
Signaling by Interleukins	Reactome	R-HSA-449147	96	619	1.71570697114e-42	4.28926742785e-40	PTGS2|RPN2|IL1RL1|HSPA9|AKT1|LIFR|IL27|TYK2|MAP3K8|PIK3CA|RORA|IRAK3|MYC|CUL3|SHC1|IL31RA|MUC1|CAMK2B|RAP1A|ANGPT1|SOCS2|PPP2CA|PHB|KIT|MAPK1|TLR9|IKBKG|IL7R|RASGRP4|GAB2|CRK|THEM4|JUN|PIK3R3|PIK3R2|PIK3R1|KSR2|MYD88|IL4R|PTPN6|PTPN5|RPS6KA2|TP53|PSMD13|MAOA|PPP2R5D|IL15RA|IL17RB|RALA|PPP2R5C|RET|MAPK11|ARRB1|IL1B|PDE3B|STAT6|TEK|CNKSR2|PSMA1|DUSP9|ICAM1|NFKB1|MAPK8|DUSP3|DUSP2|SRC|DUSP7|IL2RA|IL2RB|IL15|IRS2|STAT5B|STAT5A|PPIA|PSMD9|PSMD4|HMGB1|MSN|FOXO1|RIPK2|MCL1|TSLP|SPTBN4|SMARCA4|CEBPD|FYN|PEA15|PSMC1|PSMC4|PSMC5|PSMC6|TRAF6|IL33|IL27RA|GRIN2B|BCL6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-449147
Disease	Reactome	R-HSA-1643685	113	1049	2.745619525e-36	6.00604271094e-34	AVPR1B|SLC6A3|RPN2|AVPR1A|SND1|AKT1|AKT3|IKBKG|PSMA1|MYC|TEP1|SHC1|EXT1|TRIM24|MUC1|CAMK2B|FXR1|TPR|PPP2CA|PHB|AVPR2|KIT|TLR3|TLR1|TLR4|CTBP1|RNF5|CCNH|VDR|GAB2|KAT2B|CLTA|XRCC6|GTF2E1|SH3GL1|JUN|GTF2B|PIK3R3|PIK3R2|PIK3R1|KSR2|MYD88|VTA1|TCF4|CDC25C|PSIP1|TAF2|TAF1|TBP|PSMD13|CD14|PIK3CA|PPP2R5D|BTK|PPP2R5C|HDAC1|HDAC3|HDAC5|HDAC7|HDAC6|RAP1A|ARRB1|TSC2|NCOR1|CREBBP|ALDOB|CNKSR2|MAPK1|NFKB1|ERCC2|SRC|CHMP4C|HMGA1|VPS4B|SIT1|MNAT1|HEY2|HEY1|GALNT12|IRS2|STAT5B|STAT5A|CDK7|CDK9|PPIA|PSMD9|TGFBR2|TCEB3|PSMD4|CHMP4B|FOXO4|PRDX2|AGRN|FOXO1|GTF2A1|GTF2A2|ADAM17|FYN|MAOA|PSMC1|PSMC4|PSMC5|PSMC6|SIN3A|GTF2H1|NR4A1|GTF2H5|GTF2H4|VCP|TCEA1|NEDD4L|ABCC9|CD19	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1643685
Cell Cycle	Reactome	R-HSA-1640170	85	629	1.01172827485e-33	1.96724942331e-31	HDAC1|LCMT1|RPN2|TUBA8|PSMD9|CLSPN|RBBP7|LIN37|PLK4|PSMD13|AKT1|ITGB3BP|AKT3|CDC14A|NDE1|BRIP1|PHLDA1|TERT|CDC6|CCNA2|UIMC1|CCNA1|MAD1L1|PSMA1|TUBA1A|CDT1|CSNK1D|MAPK1|PRIM1|AURKA|GORASP2|CDCA5|PSMC1|MYC|PSMD4|PSMC4|PSMC5|PSMC6|TOP2A|BRCA1|CDKN2C|MCM10|VRK1|OIP5|CCNB2|CDC25C|KIF18A|CDK7|PPP2R2A|TPR|MCM7|MCM6|MCM5|RUVBL1|MCM3|MCM2|TK1|TP53|MNAT1|PAFAH1B1|POLA1|UBE2I|E2F6|E2F4|E2F3|TOPBP1|E2F1|PPP2CA|DLC1|RUVBL2|H2AFX|GMNN|RBBP4|SFN|CHEK2|PRKAR2B|DBF4|CEP72|CCNH|PPP2R5D|NCAPG|BRE|CHEK1|MAD2L1|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1640170
@@Cell cycle	KEGG PATHWAY	hsa04110	28	124	7.48366913448e-17	2.51510233297e-15	HDAC1|TGFB2|MAD2L1|CDC6|CCNA2|CCNA1|MAD1L1|MYC|CHEK2|CHEK1|CDKN2C|CDC25C|MCM7|MCM6|MCM5|MCM3|MCM2|TP53|CCNB2|E2F4|E2F3|E2F1|CDC14A|SFN|DBF4|CDK7|CCNH|CREBBP	http://www.genome.jp/kegg-bin/show_pathway?hsa04110/hsa:8379%09red/hsa:1031%09red/hsa:1111%09red/hsa:10926%09red/hsa:902%09red/hsa:1871%09red/hsa:3065%09red/hsa:9133%09red/hsa:1874%09red/hsa:4085%09red/hsa:990%09red/hsa:995%09red/hsa:890%09red/hsa:8900%09red/hsa:8556%09red/hsa:11200%09red/hsa:4176%09red/hsa:4174%09red/hsa:4175%09red/hsa:4172%09red/hsa:1022%09red/hsa:4171%09red/hsa:1387%09red/hsa:2810%09red/hsa:7157%09red/hsa:7042%09red/hsa:4609%09red/hsa:1869%09red
