ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0071900	regulation of protein serine/threonine kinase activity	170/1983	492/18862	6.42E-48	3.87E-44	2.17E-44	1033/891/983/890/990/1163/1164/7345/9134/10926/100133941/7070/1019/993/899/23624/3654/4221/1846/8851/7164/54900/4331/2873/11235/1852/836/7422/8600/6464/5999/1031/124790/995/7001/5716/64223/3326/26973/5570/1856/3265/5979/1950/904/4878/136/5063/84231/2950/8115/1956/1022/3619/4293/8792/9133/11221/1399/3480/7161/1432/56647/5605/7334/3643/11329/9175/5478/80279/892/1616/54106/5148/10636/1445/3843/2914/9479/4294/6543/5609/238/9623/4763/6714/2911/5795/5663/6546/7316/10818/6547/959/5925/2874/5595/2260/2322/11140/4916/6789/1845/4296/9294/51196/25759/8536/207/1849/2185/80824/10912/9064/7314/7074/2321/10614/7189/7786/6416/5159/5294/23533/5602/902/8817/10392/4217/26191/6850/3301/1847/9043/51191/8737/1436/5998/4067/1902/161742/8322/7026/1028/5580/896/10125/1030/9693/11213/1050/5777/29950/5569/54922/1026/3815/7099/11142/1843/1848/2247/10253/10019/3553/81848/4616/2690/6283/154	170
GO:0018108	peptidyl-tyrosine phosphorylation	128/1983	369/18862	2.22E-36	6.70E-33	3.75E-33	54892/100133941/7070/7804/2049/50507/23624/55620/7422/3066/5756/6464/1741/5062/5747/5753/2045/1856/5979/1950/1956/7157/58533/3952/7465/3480/640/1795/5605/3643/133396/29883/5912/388585/9031/2253/2915/10152/2623/57410/1445/2046/134/5609/3718/238/9149/10188/2056/3596/4771/2475/6714/3565/3690/5795/5663/7006/7273/5595/2260/9655/27/2322/4916/1489/4058/5008/8829/3716/2185/204851/7294/2321/4145/6886/7535/56940/2241/6416/5159/6774/5621/6850/2324/85480/2066/8764/1436/685/558/4067/2069/660/3600/3717/3678/5580/3976/3606/2242/9021/5777/2534/653361/3689/54209/409/4739/3815/3574/6098/7075/9467/695/2621/5590/10019/7010/3055/1440/5175/3383/2202/284/2690/948/3569	128
GO:0018212	peptidyl-tyrosine modification	128/1983	372/18862	5.78E-36	1.16E-32	6.50E-33	54892/100133941/7070/7804/2049/50507/23624/55620/7422/3066/5756/6464/1741/5062/5747/5753/2045/1856/5979/1950/1956/7157/58533/3952/7465/3480/640/1795/5605/3643/133396/29883/5912/388585/9031/2253/2915/10152/2623/57410/1445/2046/134/5609/3718/238/9149/10188/2056/3596/4771/2475/6714/3565/3690/5795/5663/7006/7273/5595/2260/9655/27/2322/4916/1489/4058/5008/8829/3716/2185/204851/7294/2321/4145/6886/7535/56940/2241/6416/5159/6774/5621/6850/2324/85480/2066/8764/1436/685/558/4067/2069/660/3600/3717/3678/5580/3976/3606/2242/9021/5777/2534/653361/3689/54209/409/4739/3815/3574/6098/7075/9467/695/2621/5590/10019/7010/3055/1440/5175/3383/2202/284/2690/948/3569	128
GO:0043405	regulation of MAP kinase activity	113/1983	307/18862	5.94E-35	8.96E-32	5.01E-32	983/7345/100133941/23624/3654/1846/7164/54900/2873/11235/1852/7422/8600/6464/5999/7001/1856/3265/5979/1950/4878/136/5063/84231/2950/1956/4293/8792/11221/1399/3480/7161/1432/5605/7334/3643/11329/9175/5478/80279/1616/54106/5148/10636/1445/2914/9479/4294/5609/238/4763/6714/2911/5795/5663/7316/10818/959/2874/5595/2260/2322/4916/1845/4296/9294/51196/25759/1849/2185/80824/10912/9064/7314/7074/2321/7189/7786/6416/5159/5294/23533/5602/8817/10392/4217/26191/6850/3301/1847/9043/8737/5998/4067/1902/161742/8322/5580/10125/11213/5777/3815/7099/1843/1848/2247/10253/10019/3553/81848/4616/2690/6283	113
GO:0031098	stress-activated protein kinase signaling cascade	102/1983	276/18862	8.14E-32	9.82E-29	5.49E-29	2305/3654/4221/7164/2873/56924/11235/1852/7422/8600/222643/8877/1739/3276/54910/5062/3265/10987/4878/136/5063/2950/1956/4293/3952/51135/7477/23236/11221/1399/3480/1432/4077/5605/7334/7188/9175/5478/10298/8841/1616/54106/9479/4294/10913/5609/846/7316/959/5911/2874/8454/5595/6789/1845/5601/4296/10771/207/2185/10912/2122/9064/7314/9611/7189/56940/7786/6416/5602/10392/4217/26191/6850/3301/2324/7430/2308/9043/4215/260425/8737/2889/140885/1540/57630/4067/344558/10125/4790/4615/653361/7099/1410/1843/10044/3553/7098/9770/9459/1326/4616	102
GO:0051403	stress-activated MAPK cascade	96/1983	261/18862	8.10E-30	8.15E-27	4.56E-27	2305/3654/4221/7164/2873/11235/1852/7422/8600/222643/8877/1739/3276/54910/3265/10987/4878/136/2950/1956/4293/3952/51135/7477/23236/11221/1399/3480/1432/4077/5605/7334/7188/9175/5478/8841/1616/54106/9479/4294/10913/5609/846/7316/959/5911/2874/8454/5595/1845/5601/4296/10771/207/2185/10912/2122/9064/7314/9611/7189/56940/7786/6416/5602/10392/4217/26191/6850/3301/2324/7430/2308/9043/4215/260425/8737/2889/140885/1540/57630/344558/10125/4790/4615/653361/7099/1410/1843/10044/3553/7098/9770/9459/1326/4616	96
GO:0071902	positive regulation of protein serine/threonine kinase activity	105/1983	311/18862	7.09E-29	6.11E-26	3.42E-26	891/983/990/1163/1164/10926/100133941/3654/8851/7164/4331/11235/1852/7422/8600/6464/7001/5716/64223/3326/1856/3265/5979/1950/904/136/5063/84231/8115/1956/3619/4293/8792/1399/7161/1432/5605/7334/3643/9175/5478/1616/54106/5148/1445/2914/4294/6543/5609/238/9623/6714/2911/5663/7316/10818/959/5595/2260/2322/4916/6789/4296/9294/51196/25759/8536/207/1849/2185/10912/9064/7314/7074/2321/7189/7786/6416/5159/5294/23533/5602/8817/10392/4217/6850/1847/9043/8737/1436/1902/8322/896/10125/9693/3815/7099/1848/2247/10253/3553/4616/2690/6283/154	105
GO:0046777	protein autophosphorylation	86/1983	226/18862	4.65E-28	3.51E-25	1.96E-25	6790/4751/9212/11200/2049/7443/3654/7422/84206/7444/11040/5062/5747/5753/27102/2045/8805/10553/545/1956/4293/5528/65268/816/2011/3480/4683/5605/3643/51701/9175/5912/1445/4294/2046/8428/6872/238/9149/2475/6714/23617/815/1613/7006/5911/5595/2260/2322/817/6789/150094/4296/85456/2675/207/2185/7294/2321/2241/7786/91662/5159/2872/5525/2324/4215/2066/8737/23235/1436/4067/9706/5587/660/3717/2242/11213/9748/7424/3815/6098/695/7010/9770/3055	86
GO:0032147	activation of protein kinase activity	106/1983	328/18862	2.42E-27	1.62E-24	9.06E-25	22974/983/1894/3654/8851/56924/1852/7422/8600/6464/1739/7001/11331/5062/64223/7295/5979/1950/136/5063/84231/1956/4293/3952/2011/1399/7161/1432/5605/7334/3643/9175/5478/10298/1616/10920/5148/2914/4294/134/5609/238/2056/116986/2475/6714/3565/2911/3690/5663/7316/10818/959/4214/5595/4916/6789/673/4296/9294/51196/25759/10718/207/1849/2185/10912/9064/7314/7189/7786/6416/57498/5602/10392/4217/112/6850/1847/5894/9043/4215/8737/2889/1398/113/1902/942/3717/5580/3606/9020/283/3815/7099/1848/2247/2621/5590/3553/7098/1326/4616/284/2690/154	106
GO:0051090	regulation of DNA-binding transcription factor activity	126/1983	444/18862	2.50E-26	1.51E-23	8.43E-24	7291/55502/3728/7292/7804/3654/4221/2175/7422/8600/5457/3066/4760/8877/7001/11331/5716/4188/54101/1856/10987/84433/6597/8792/6883/133746/55072/1432/7334/7188/9175/5478/80279/54106/5927/10935/7471/4294/11124/6872/238/7293/8928/8986/63973/815/2099/5458/7316/51341/959/57506/5925/7874/5595/150094/150372/5601/3275/2033/207/10014/10193/23586/7314/10475/7189/2241/91662/6774/8431/8321/5602/60485/7114/9759/5621/10392/6850/148022/6737/5530/8737/5579/133522/1540/2316/5587/10891/6280/8322/4792/56998/3717/5583/57162/6934/3606/11213/4790/7472/4615/3689/409/3815/6279/3162/7099/7097/695/10346/5588/2621/5590/8807/3553/7098/3055/825/1440/3383/5468/9314/6283/948/3569	126
