ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:1901653	cellular response to peptide	70/982	391/18862	5.67E-20	3.16E-16	1.91E-16	2706/890/990/83990/376267/2058/54209/8914/79837/5296/7157/6464/51043/8473/58533/207/51094/7249/5618/6714/2915/10014/6777/4303/529/114/2241/1373/10458/6667/4790/8767/109/6778/3480/26060/6776/80318/1398/8503/23411/5305/5290/51763/8660/3164/5295/2549/8837/8462/2308/5140/8850/7071/5577/2697/7099/3553/2534/5468/51762/3383/3397/8013/2690/154/9365/8835/858/857	70
BP	GO:0006367	transcription initiation from RNA polymerase II promoter	46/982	187/18862	3.93E-19	1.10E-15	6.63E-16	6662/1871/7421/4331/2968/1022/860/7157/6873/5704/5706/5705/865/2068/2104/2101/4878/2960/3172/2957/6872/1387/7067/6908/1025/2965/3146/902/6256/2958/7376/2959/404672/23493/29982/6095/3164/8493/7068/10891/2494/8850/7025/1490/5468/8013	46
BP	GO:0051348	negative regulation of transferase activity	58/982	296/18862	1.19E-18	2.21E-15	1.34E-15	2810/6423/4085/3315/5987/1031/2873/11315/124790/1852/79837/54900/7157/58533/207/25998/4878/1855/7249/94032/6714/5478/6422/11122/5777/56940/28951/5998/25793/1849/1845/3480/10614/23411/5305/9104/51763/5515/7026/8660/81848/1844/10019/11213/8850/5788/5577/8692/3553/5468/9467/55450/1843/54922/7128/7538/5787/857	58
BP	GO:0002683	negative regulation of immune system process	68/982	403/18862	5.15E-18	7.18E-15	4.35E-15	4321/6662/1803/6664/3559/5987/8379/54900/3313/51043/708/7001/9231/5682/865/207/161882/9466/10906/133396/640/6693/6422/2241/3204/55646/5777/3146/7376/558/25793/1845/966/9935/26060/1398/7805/80762/3566/695/7042/7098/2624/23228/864/5295/1051/55824/1831/604/1604/11213/7305/146722/10272/5788/7099/6387/5468/10288/1843/7128/4609/3824/3575/9173/284/90865	68
BP	GO:0071900	regulation of protein serine/threonine kinase activity	76/982	492/18862	9.89E-18	1.10E-14	6.67E-15	2810/2146/6423/890/990/4486/4485/10926/3315/1031/2873/4331/124790/1852/995/1022/54900/6464/7001/207/7161/4878/5979/1616/54106/8517/4515/6714/5478/9133/6422/7189/5600/4916/958/975/5777/2965/8682/902/28951/5998/7074/8767/25793/1849/5594/8900/1845/3480/6868/10614/23411/51763/5515/7026/5311/81848/1844/10019/11213/8850/3815/5788/3489/5577/8692/7099/3553/1843/54922/408/7128/2690/154/857	76
BP	GO:0033673	negative regulation of kinase activity	53/982	267/18862	2.10E-17	1.57E-14	9.49E-15	2810/6423/3315/5987/1031/2873/11315/124790/1852/79837/54900/58533/207/25998/4878/1855/7249/94032/5478/6422/11122/5777/56940/28951/5998/25793/1849/1845/3480/10614/23411/5305/9104/51763/5515/7026/8660/81848/1844/10019/11213/8850/5788/5577/8692/3553/9467/55450/1843/54922/7128/5787/857	53
BP	GO:0006352	"DNA-templated transcription, initiation"	51/982	249/18862	2.14E-17	1.57E-14	9.49E-15	6662/1871/7421/4331/2968/6597/1022/860/7157/6873/5704/5706/6598/5705/865/2068/2104/2101/4878/2960/3172/2957/6872/55290/1387/7067/6908/1025/2965/3146/902/6256/2958/7376/2959/404672/23493/29982/6095/3164/8493/7068/10891/2494/3725/8850/7025/1490/5468/284119/8013	51
BP	GO:0043434	response to peptide hormone	70/982	435/18862	2.25E-17	1.57E-14	9.49E-15	2706/890/990/83990/376267/2058/79837/5296/6464/51043/8473/8891/790/207/51094/5928/5245/7249/5618/6714/5798/10014/6777/4303/529/114/2241/1373/10458/6667/4790/109/6778/3480/26060/6776/80318/1398/8503/23411/5305/8614/5290/51763/1407/8660/3164/5295/2549/8837/2308/5140/8850/5577/2697/6387/1490/3553/2534/5468/51762/3383/7010/8013/2690/7049/9365/8835/858/857	70
BP	GO:0006469	negative regulation of protein kinase activity	50/982	243/18862	3.63E-17	2.25E-14	1.36E-14	2810/6423/3315/5987/1031/2873/11315/124790/1852/54900/58533/207/25998/4878/1855/7249/94032/5478/6422/11122/5777/56940/28951/5998/25793/1849/1845/3480/10614/23411/9104/51763/5515/7026/81848/1844/10019/11213/8850/5788/5577/8692/3553/9467/55450/1843/54922/7128/5787/857	50
BP	GO:0030522	intracellular receptor signaling pathway	53/982	274/18862	6.78E-17	3.78E-14	2.29E-14	2146/3065/56937/8805/7421/11315/672/6597/708/865/2104/8626/2101/5245/1616/10013/8517/3172/6714/7067/6422/7189/23558/9063/7110/9611/329/6256/3275/7376/8767/1408/6095/23411/1540/27086/1407/7026/133522/3164/57658/1655/7068/8648/2494/4734/10370/7025/7099/5468/7128/8013/6943	53
BP	GO:0016570	histone modification	70/982	448/18862	1.11E-16	5.62E-14	3.40E-14	6790/2146/890/4582/1111/79184/10765/4485/3065/1789/1786/11315/672/8726/8607/5079/7157/8841/8464/7443/55806/51043/8473/6598/6839/84759/64769/64324/5245/10856/3054/10013/1487/4654/6872/56848/10664/150572/1387/51564/10014/5587/51720/23558/8864/1025/80314/25942/10075/3275/23429/2959/5926/6497/5599/1911/10933/51322/54556/23411/221037/6688/2624/10891/8648/604/122953/8850/3553/408	70
BP	GO:0042326	negative regulation of phosphorylation	66/982	407/18862	1.29E-16	5.97E-14	3.61E-14	2810/6423/3315/56937/5987/1031/2873/11315/124790/1852/79837/54900/138429/58533/207/25998/4878/1855/5528/7249/94032/50855/5478/6422/11122/4916/9611/5777/56940/5144/28951/5998/25793/1849/1845/3480/10614/23411/5305/9104/51763/5515/7026/8660/84919/10891/81848/1844/10019/2022/11213/8850/5788/5577/8692/3553/9467/55450/863/1843/54922/408/7128/284/5787/857	66
BP	GO:0001933	negative regulation of protein phosphorylation	61/982	362/18862	3.00E-16	1.29E-13	7.78E-14	2810/6423/3315/56937/5987/1031/2873/11315/124790/1852/54900/138429/58533/207/25998/4878/1855/5528/7249/94032/50855/5478/6422/11122/4916/5777/56940/5144/28951/5998/25793/1849/1845/3480/10614/23411/9104/51763/5515/7026/84919/10891/81848/1844/10019/2022/11213/8850/5788/5577/8692/3553/9467/55450/1843/54922/408/7128/284/5787/857	61
BP	GO:0071375	cellular response to peptide hormone stimulus	57/982	325/18862	4.63E-16	1.85E-13	1.12E-13	2706/890/990/83990/376267/2058/79837/5296/6464/51043/8473/207/51094/7249/5618/6714/10014/6777/4303/529/114/2241/1373/10458/6667/4790/109/6778/3480/26060/6776/80318/1398/8503/23411/5305/5290/51763/8660/3164/5295/2549/8837/2308/5140/8850/5577/3553/2534/5468/51762/8013/2690/9365/8835/858/857	57
BP	GO:0016569	covalent chromatin modification	70/982	461/18862	5.09E-16	1.89E-13	1.15E-13	6790/2146/890/4582/1111/79184/10765/4485/3065/1789/1786/11315/672/8726/8607/5079/7157/8841/8464/7443/55806/51043/8473/6598/6839/84759/64769/64324/5245/10856/3054/10013/1487/4654/6872/56848/10664/150572/1387/51564/10014/5587/51720/23558/8864/1025/80314/25942/10075/3275/23429/2959/5926/6497/5599/1911/10933/51322/54556/23411/221037/6688/2624/10891/8648/604/122953/8850/3553/408	70
BP	GO:1903131	mononuclear cell differentiation	64/982	411/18862	2.82E-15	9.81E-13	5.94E-13	2146/6659/973/54209/930/3559/1380/8326/7157/51043/7001/865/84433/54361/6929/161882/54106/246778/2547/133396/640/6693/6422/10014/7189/6777/3204/5777/3146/7528/639/558/7535/8767/25793/9935/6868/6095/80762/3566/3394/695/27086/6688/5336/925/23228/864/5295/1051/604/3725/3600/3702/2621/3815/5788/7048/3553/5468/10288/4609/3575/7704	64
BP	GO:0010948	negative regulation of cell cycle process	59/982	359/18862	3.00E-15	9.85E-13	5.96E-13	2810/6790/2146/4085/6659/990/4582/1111/79184/92421/81620/11200/1031/5710/8379/672/5931/5700/8726/995/51499/51451/8326/7157/1876/23468/1869/5704/5706/9587/5682/5705/9577/11073/8883/5928/5719/1874/8555/54998/63967/8328/4303/51720/1025/80314/5715/146691/3275/23429/25793/1911/5311/7175/604/8850/5325/1843/2273	59
BP	GO:0051098	regulation of binding	58/982	357/18862	8.76E-15	2.71E-12	1.64E-12	6790/51053/6664/81620/11315/4488/9026/5092/57326/1869/3925/4188/2068/207/5499/2072/387082/64324/161882/10856/1855/4654/6872/4776/6714/7015/119/7114/22927/10014/7189/1965/8864/1025/23129/3146/25942/2959/6497/7074/8767/5599/23493/166/1398/5329/4487/5515/23228/3725/4133/5468/23462/3397/284/154/7049/857	58
BP	GO:0048732	gland development	63/982	413/18862	1.25E-14	3.68E-12	2.23E-12	6662/6790/2146/79152/10765/2049/4485/5454/6531/8379/5774/5589/51043/7001/790/207/3213/8626/54361/3172/5618/6714/6299/9133/7849/6496/7067/6422/6777/23129/5894/1373/5594/57142/4478/9935/6776/8452/7042/5290/9104/4487/10116/27122/2624/8660/5311/7472/5906/1051/8648/5087/8837/10370/10272/7048/2113/7128/3202/6943/7049/8835/857	63
BP	GO:0030099	myeloid cell differentiation	63/982	419/18862	2.49E-14	6.93E-12	4.20E-12	3217/3065/54209/2539/93974/3313/865/3218/2068/161882/6714/133396/1053/1387/7067/6422/115727/7189/6777/3204/55646/975/5777/3146/25942/5926/9935/54861/51621/80762/23411/5305/3394/27086/7098/6688/2624/133522/5295/1051/604/10019/3725/9846/7305/3600/8850/7071/10272/3815/7048/7099/126014/3726/5468/2113/863/4609/3202/7538/8013/7049/7704	63
