##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Immune System	Reactome	R-HSA-168256	246	2096	2.32843630274e-99	4.08873414762e-96	BCL2L1|LIF|DYNLL1|TIMP2|GHR|NCF2|CD33|RPN2|CD36|AKT2|LIFR|RAPGEF2|S100A12|MS4A2|IL1RL1|MRC1|MAP3K8|TYROBP|MAP3K3|NCF4|DYNLT1|LYZ|CD79B|IRAK3|LYN|NF2|SERPING1|IL18|SHC1|SIRPA|SHC3|CTSE|TRIM22|SPRED1|CSF3R|SEC24B|PI3|IP6K2|PAFAH1B2|ANGPT1|VEGFA|SOCS3|SOCS2|PTPN13|PTPRJ|SLC2A3|KIT|TLR2|TLR3|TLR1|CYLD|TLR7|TLR4|TLR5|RNF7|TLR8|RNF216|ELMO1|RAPGEF1|IL7R|STAT6|TNFSF11|RASGRP1|EVL|REL|ARRB2|DOCK2|SPTAN1|CDKN1A|NFKBIA|GAB2|RAB6A|FRS3|IL15|NOS2|CD209|TNFRSF14|LAIR1|IFNGR1|DNM3|CRK|CSF3|OLFM4|FGF2|RAB5B|TUBA1B|TUBA1A|IL4|PILRA|JAK2|PEBP1|PIK3R1|MTOR|NLK|MYD88|IL4R|PECAM1|FAF2|HERC5|BLK|HCK|FCGR2A|FGF3|PTPN6|PTPN5|ITGAX|UBE2N|FGF6|HMOX1|CD93|MEF2C|MAOA|ITGAM|BTC|FLNA|IL17RD|IL15RA|PSEN1|BTK|CSF2RB|NCF1|NPDC1|PSMB10|PAG1|HTN1|MAPK14|CD300LF|FABP5|TREM1|KIF11|MAPK12|TREM2|TXNIP|IL1B|CD86|RAF1|CD79A|CLEC5A|FCER1G|TEK|PELI1|ZBTB16|RACGAP1|S1PR1|CSF1R|PDE3B|S100A9|ICAM2|ICAM1|C3|DUSP9|S100A7|DUSP6|DLC1|CD58|S100A8|POLR2K|SRC|PSMD6|SH3RF1|ITGA4|DUSP5|IL3RA|FCER1A|RAB10|LGALS3|ATP6V0D1|FSCN1|SLPI|IL2RB|TRIM21|MAP2K2|FBXW4|IL13|CLGN|IL16|IL6|IL7|STAT5A|RNF144B|EREG|PPIA|CD53|MT2A|CISH|MGAM|PSMD4|BIRC5|LIMK1|RIPK1|MSN|FOXO1|MCL1|TSLP|SPTBN2|SPTBN1|YWHAZ|TRIM9|SERPINA3|IL31RA|IL18RAP|TWIST1|SIGLEC1|FYN|MEF2A|DOK3|NFKB1|RANBP9|ATP6V1B1|NRG2|OASL|GDNF|ITGB3|ITGB2|RAC2|HECW2|RASGRP2|CD47|PRKCB|KIF18A|PRKCD|NCR1|CAMK2A|CYBB|PPP3CA|PRKCQ|LCP2|CST3|SQSTM1|CASP4|TRIM2|CASP3|OLR1|C3AR1|CLEC4A|CASP9|GRIN2B|MAP3K14|PTPRB|MMP9|C4BPA|BCL6|MMP2|MMP3|CFP|MMP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168256
Signal Transduction	Reactome	R-HSA-162582	244	2689	4.69723654346e-77	4.12417368516e-74	RPN2|TAC3|DYNLL1|IL1RL1|NCF2|NCF1|AKT2|RAPGEF1|RAPGEF2|CRABP2|CAV2|AXL|MYL9|PEBP1|RARB|ARHGEF6|GPR183|MIB1|PTGER2|PAG1|PGR|LYN|ANGPT1|CDKN2B|RGS16|ARHGEF12|ADCY7|SHC1|IFT57|NUF2|RGS3|CAMK2A|SPRED1|FLRT3|KLK3|ITGA3|NRG2|VEGFA|SOCS3|CCND3|PTPRJ|CHN1|TCF7L2|KIT|ARHGAP17|GNG4|BMPR2|ARHGAP10|YBX1|CFTR|CSF2RB|GZMB|RASGRP1|EVL|ATP2A1|KISS1R|GNAO1|CDKN1A|NFKBIA|GAB2|ITGB3|KAT2A|NTSR1|DNM3|MMP9|TSHR|EDNRB|HTR1A|SKI|TJP1|RPS6KB2|FGF2|ADRB1|TUBA1B|TUBA1A|THBS2|THBS3|A2M|ARHGAP29|JAK2|NF2|PIK3R1|MTOR|CYLD|MYD88|GRM1|CHEK1|SMC1A|NR4A1|GRB7|MDK|PPARG|TEK|COL4A3|VEGFC|FGF6|GDI1|FGF3|PTPN6|POLR2K|POLR2J|LPAR1|GNAQ|ZDHHC7|ESR1|SDC4|ELMO1|MEF2C|MEF2A|PRKCZ|HECW1|BTC|FLNA|AGTR1|IL17RD|PSEN1|BTK|MYH10|RASGRP2|PTGFR|HDAC2|PSMB10|TLE2|FOSB|PGF|RTKN|PTGER1|MAPK14|SPRY2|FABP5|ARRB2|MAPK12|FLT4|CD86|NCOR2|AKR1C3|STAT6|NCOA1|FZD4|TMED2|CGN|RACGAP1|S1PR1|ATP2A3|NCOA3|PRKCB|PDE3B|DUSP9|S100A8|MAPK4|DOCK3|C3|S100A9|DUSP6|DLC1|ADRB2|SRC|PSMD6|FGD1|RALGDS|CASR|RXRB|RAB6A|DUSP5|IL3RA|SH2B3|NFKB1|GABRB2|ATP6V0D1|YAP1|LRP2|RIPK1|IL2RB|CCL13|RGS13|WNT2|NTS|FOXO1|PRKCQ|IL6|CDK1|STAT5A|ADRB3|EREG|PPID|USP8|CTTN|KALRN|BIRC5|LIMK1|FRS3|NCF4|MAP2K2|INSR|CRK|GNAT1|SPTBN2|SPTBN1|YWHAZ|ECT2|SHC3|FYN|IFT88|RGS4|RGS5|ARHGDIB|AURKB|RANBP9|ATP6V1B1|CDCA8|DGKA|GNGT2|PRKCH|NR3C1|RAC2|RAD21|PRKCA|TNKS|GNA11|KIF18A|PRKCD|CYBB|GPC3|NUMB|TRIP10|FFAR1|PBX1|PSMD4|SQSTM1|E2F5|CASP3|E2F1|SPTAN1|C3AR1|CASP9|GRIN2B|GDNF|CTNNBIP1|PPP3CA|COL6A3|MMP2|MMP3|HTR1B|FES	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162582
Signaling by Interleukins	Reactome	R-HSA-449147	117	619	1.13711922389e-64	6.65593785718e-62	BCL2L1|LIF|IL1RL1|RPN2|CD36|AKT2|LIFR|RAPGEF2|S100A12|PEBP1|MAP3K8|MAP3K3|IRAK3|LYN|SHC1|IL31RA|SHC3|CAMK2A|SPRED1|CSF3R|ANGPT1|SOCS3|SOCS2|PTPN13|KIT|RAPGEF1|IL7R|RASGRP1|SPTAN1|CDKN1A|NFKBIA|GAB2|NOS2|FRS3|IL15|CRK|CSF3|IL4|JAK2|PIK3R1|MYD88|IL4R|VEGFA|HCK|FGF3|FGF2|PTPN5|ITGAX|UBE2N|HMOX1|MEF2C|MAOA|ITGAM|BTC|IL17RD|IL15RA|CSF2RB|PSMB10|PTPN6|MAPK14|ARRB2|FGF6|IL1B|PDE3B|STAT6|TEK|PELI1|S1PR1|CSF1R|CD86|DUSP9|CISH|ICAM1|DUSP5|RANBP9|DUSP6|SRC|IL3RA|NFKB1|FSCN1|IL18|IL2RB|MAP2K2|IL13|CLGN|IL16|IL6|IL7|STAT5A|EREG|PPIA|PSMD4|BIRC5|PSMD6|MSN|FOXO1|MCL1|TSLP|SPTBN2|SPTBN1|YWHAZ|IL18RAP|TWIST1|FYN|MEF2A|NRG2|ITGB3|ITGB2|SQSTM1|CASP3|GRIN2B|GDNF|MMP9|BCL6|MMP2|MMP3|MMP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-449147
Cytokine Signaling in Immune system	Reactome	R-HSA-1280215	131	836	6.28338497221e-64	2.7584060028e-61	BCL2L1|LIF|IL1RL1|GHR|RPN2|CD36|AKT2|LIFR|RAPGEF2|S100A12|PEBP1|MAP3K8|MAP3K3|TRIM21|IRAK3|LYN|SHC1|IL31RA|SHC3|CAMK2A|TRIM22|SPRED1|CSF3R|IP6K2|ANGPT1|VEGFA|SOCS3|SOCS2|PTPN13|KIT|RAPGEF1|IL7R|TNFSF11|RASGRP1|SPTAN1|CDKN1A|NFKBIA|GAB2|NOS2|FRS3|IL15|TNFRSF14|IFNGR1|CRK|CSF3|IL4|JAK2|PIK3R1|MYD88|IL2RB|IL4R|HERC5|HCK|FGF3|PTPN6|PTPN5|ITGAX|UBE2N|HMOX1|MEF2C|MAOA|ITGAM|BTC|FLNA|IL17RD|IL15RA|CSF2RB|PSMB10|MAPK14|ARRB2|FGF6|IL1B|PDE3B|STAT6|TEK|PELI1|S1PR1|CSF1R|CD86|DUSP9|CISH|ICAM1|DUSP5|RANBP9|DUSP6|SRC|IL3RA|NFKB1|FSCN1|IL18|FGF2|MAP2K2|IL13|CLGN|IL16|IL6|IL7|STAT5A|EREG|PPIA|MT2A|PSMD4|BIRC5|PSMD6|MSN|FOXO1|MCL1|TSLP|SPTBN2|SPTBN1|YWHAZ|IL18RAP|TWIST1|FYN|MEF2A|NRG2|ITGB3|ITGB2|PRKCD|OASL|SQSTM1|TRIM2|CASP3|GRIN2B|MAP3K14|GDNF|MMP9|BCL6|MMP2|MMP3|MMP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1280215
Pathways in cancer	KEGG PATHWAY	hsa05200	96	530	1.54946450393e-51	5.44171933779e-49	BCL2L1|NQO1|AKT2|RARB|GADD45B|PAX8|PTGER1|PTGER2|CDKN2B|ARHGEF12|CAMK2A|KLK3|CSF3R|ADCY7|CCND3|TCF7L2|KIT|GNG4|IL7R|RASGRP1|RASSF1|CDKN1A|NFKBIA|RASSF5|IFNGR1|CRK|EDNRB|CCNE2|IL4|JAK2|PIK3R1|FOXO1|IL4R|NCOA3|COL4A6|COL4A3|VEGFC|FGF6|FGF5|FGF3|FGF2|GNAQ|ESR1|HMOX1|VEGFA|AGTR1|IL15RA|CSF2RB|HDAC2|FLT4|STAT6|NCOA1|FZD4|ZBTB16|CSF1R|CKS1B|RPS6KB2|GNA11|NFKB1|MSH2|ITGA3|RALGDS|CKS2|RXRB|IL3RA|IL2RB|WNT2|IL13|IL15|IL6|IL7|STAT5A|LPAR1|BIRC5|MSH6|MAP2K2|CLGN|PGF|CEBPA|ETS1|DAPK3|NOS2|RAC2|TRAF5|RASGRP2|PRKCA|PPARG|PRKCB|CASP3|E2F1|CASP9|GNGT2|MMP9|MTOR|MMP2|MMP1	http://www.genome.jp/kegg-bin/show_pathway?hsa05200/hsa:3600%09red/hsa:1050%09red/hsa:6934%09red/hsa:1030%09red/hsa:5228%09red/hsa:9134%09red/hsa:4616%09red/hsa:896%09red/hsa:6199%09red/hsa:7424%09red/hsa:7422%09red/hsa:1026%09red/hsa:2324%09red/hsa:815%09red/hsa:1902%09red/hsa:10235%09red/hsa:1869%09red/hsa:11186%09red/hsa:1728%09red/hsa:113%09red/hsa:4436%09red/hsa:1910%09red/hsa:5880%09red/hsa:7188%09red/hsa:5579%09red/hsa:4792%09red/hsa:4790%09red/hsa:208%09red/hsa:8202%09red/hsa:6776%09red/hsa:2113%09red/hsa:4318%09red/hsa:1436%09red/hsa:4312%09red/hsa:4313%09red/hsa:1164%09red/hsa:1163%09red/hsa:6778%09red/hsa:3601%09red/hsa:3569%09red/hsa:598%09red/hsa:3560%09red/hsa:3815%09red/hsa:3563%09red/hsa:3565%09red/hsa:3566%09red/hsa:836%09red/hsa:354%09red/hsa:842%09red/hsa:5900%09red/hsa:5578%09red/hsa:3596%09red/hsa:7472%09red/hsa:3459%09red/hsa:3162%09red/hsa:3675%09red/hsa:5295%09red/hsa:3575%09red/hsa:3574%09red/hsa:23365%09red/hsa:185%09red/hsa:2248%09red/hsa:2776%09red/hsa:5915%09red/hsa:2247%09red/hsa:7704%09red/hsa:2956%09red/hsa:7849%09red/hsa:1439%09red/hsa:2475%09red/hsa:1441%09red/hsa:5468%09red/hsa:2793%09red/hsa:10125%09red/hsa:2099%09red/hsa:332%09red/hsa:2767%09red/hsa:1613%09red/hsa:2251%09red/hsa:2250%09red/hsa:6257%09red/hsa:5605%09red/hsa:3066%09red/hsa:8648%09red/hsa:3717%09red/hsa:2786%09red/hsa:4843%09red/hsa:8322%09red/hsa:83593%09red/hsa:1285%09red/hsa:1288%09red/hsa:1398%09red/hsa:5732%09red/hsa:5731%09red/hsa:2308%09red
Innate Immune System	Reactome	R-HSA-168249	125	1043	2.27251947572e-49	6.65090699895e-47	BCL2L1|RPN2|DYNLL1|TIMP2|CD33|CD36|S100A12|MS4A2|PECAM1|MAP3K8|TYROBP|NCF4|DYNLT1|LYZ|IRAK3|LYN|SIRPA|RAB5B|TRIM21|PI3|PAFAH1B2|SLC2A3|TLR2|TLR3|TLR1|CYLD|TLR7|TLR4|TLR5|TLR8|RNF216|ELMO1|RASGRP2|RASGRP1|DOCK2|SPTAN1|NFKBIA|GAB2|RAB6A|CD209|LAIR1|DNM3|CRK|OLFM4|C4BPA|MGAM|NF2|PIK3R1|NLK|MYD88|STAT6|FAF2|HERC5|HCK|PTPN6|POLR2K|ITGAX|UBE2N|CD93|MEF2C|MEF2A|ITGAM|BTK|NCF2|NCF1|PSMB10|HTN1|MAPK14|FABP5|TREM1|MAPK12|TREM2|TXNIP|IL1B|RAF1|CLEC5A|FCER1G|PELI1|SERPING1|PSEN1|S100A9|ICAM2|C3|CST3|S100A7|DUSP6|DLC1|S100A8|LIMK1|FCER1A|RAB10|LGALS3|ATP6V0D1|SLPI|PPIA|CD53|PSMD4|CD58|PSMD6|RIPK1|SERPINA3|FYN|DOK3|NFKB1|ATP6V1B1|NOS2|ITGB2|RAC2|CD47|PRKCD|FCGR2A|CYBB|PRKCQ|LCP2|CASP4|OLR1|C3AR1|CLEC4A|CASP9|MAP3K14|PTPRB|MMP9|PPP3CA|PTPRJ|CFP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168249
Hemostasis	Reactome	R-HSA-109582	95	617	1.31814458721e-45	3.30665985021e-43	TIMP3|ZFPM2|CD36|PPIL2|PECAM1|ATP2B2|LYN|SHC1|SIRPA|GATA6|GYPC|GATA2|GNG4|GRB7|GUCY1B3|ARRB2|RASGRP2|RASGRP1|ATP2A1|ATP2A3|DOCK2|DOCK3|ITGA3|ITGA4|ITGA5|NOS2|CRK|TUBA1B|TUBA1A|APOH|GUCY1A2|JAK2|PIK3R1|ANGPT1|JAM2|VEGFA|VEGFC|PTPN6|ITGAX|GNAQ|SDC4|CDC37L1|ITGAM|FLNA|GAS6|HDAC2|EHD2|EHD1|MAPK14|SERPING1|TREM1|KIF11|CD2|A2M|FCER1G|TEK|RACGAP1|GNA11|TFPI|SLC8A1|SRC|SLC7A5|SH2B3|RAD51C|KIF20B|PPIA|SLC7A7|CD58|CLGN|YWHAZ|SERPINA3|FYN|DGKA|PRKCH|ITGB3|ITGB2|RAC2|PRKCA|CD47|PRKCB|KIF18A|PRKCD|PRKCZ|PRKCQ|LCP2|ACTN1|OLR1|SELE|SLC7A10|SLC7A11|KIF13B|GNGT2|VTI1B|SELP|MMP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-109582
Developmental Biology	Reactome	R-HSA-1266738	112	1082	1.13017493098e-38	2.48073397349e-36	MYH10|RPN2|CD36|AKT2|MYL9|RARB|TYROBP|DSC3|HNF1A|SCN4A|DOK6|LYN|LIMK1|ARHGEF12|SHC1|SPAG9|HOXD4|CD24|FLRT3|CSF3R|PI3|GATA2|CCND3|GRB7|PAK4|PAK6|EVL|KRT5|SPTAN1|CDKN1A|GAB2|ITGA5|KAT2A|RRAS|DNM3|GAP43|EGR2|TUBA1B|TUBA1A|PPARGC1A|PIK3R1|HOXB3|HOXB4|PPARG|COL4A3|PPARA|FGF2|BNIP2|POLR2J|RPS6KA4|HNF4A|ST8SIA2|MEF2C|KRT16|MEF2A|KRT14|KRT10|MED14|EFNB2|PSMB10|MAPK14|MAPK12|TREM2|KRT9|NCOR2|NCOA3|NCOA1|ALCAM|PSEN1|NR2F2|RANBP9|POLR2K|KRT6A|NFKB1|SRC|RPS18|EFNA4|FES|CDH3|NEUROD1|MAP2K2|HOXA1|DPPA4|RPS14|KALRN|PSMD6|MSN|FOXO1|SPTBN2|SPTBN1|SEMA6A|CEBPA|ANK1|SHC3|FYN|RPL22|KLF4|SLIT3|ITGB3|PRKCA|NUMB|PRKCQ|PBX1|PSMD4|E2F1|EZR|GRIN2B|RND1|GDNF|MMP9|COL6A3|MMP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1266738
Signaling by Receptor Tyrosine Kinases	Reactome	R-HSA-9006934	75	458	1.07319876247e-37	2.09393002989e-35	USP8|NCF2|NCF1|DNM3|NCF4|PAG1|ITGA3|GAB2|SPRED1|FRS3|MAPK14|SPRY2|AKT2|GRB7|RAPGEF1|MAPK12|CRK|FLT4|AXL|RALGDS|PGF|STAT6|FGF3|PSEN1|PGR|THBS2|THBS3|PDE3B|JAK2|POLR2K|PIK3R1|DOCK3|MTOR|ATP6V1B1|LYN|NRG2|MEF2C|CHEK1|SRC|ITGB3|PRKCB|SHC1|SHC3|PRKCA|FYN|PRKCD|CYBB|FLRT3|PRKCZ|COL4A3|SH2B3|VEGFC|FGF6|GABRB2|RANBP9|PTPN6|POLR2J|YAP1|FGF2|DUSP6|VEGFA|ESR1|PTPRJ|INSR|KIT|GRIN2B|STAT5A|ATP6V0D1|EREG|BTC|MMP9|MEF2A|COL6A3|ELMO1|FES	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006934
PI3K-Akt signaling pathway	KEGG PATHWAY	hsa04151	59	354	3.34066061466e-30	5.86620003935e-28	IL7R|BCL2L1|CSF3R|GHR|TNXB|CDKN1A|ITGA3|ITGA4|ITGA5|MAP2K2|INSR|MCL1|FLT4|CASP9|YWHAZ|TLR2|TEK|ERBB4|CCNE2|THBS2|THBS3|RPS6KB2|JAK2|GNG4|PIK3R1|MTOR|NFKB1|ANGPT1|GNGT2|PGF|ITGB3|NR4A1|DDIT4|IL4R|RBL2|CSF1R|PRKCA|EFNA4|COL4A6|COL4A3|VEGFC|FGF6|FGF5|FGF3|FGF2|IL2RB|VEGFA|CCND3|AKT2|KIT|IL6|IL7|IL4|EREG|TLR4|IL3RA|COL6A3|LPAR1|CSF3	http://www.genome.jp/kegg-bin/show_pathway?hsa04151/hsa:3569%09red/hsa:598%09red/hsa:3560%09red/hsa:3815%09red/hsa:2248%09red/hsa:3563%09red/hsa:3565%09red/hsa:3566%09red/hsa:1441%09red/hsa:1440%09red/hsa:54541%09red/hsa:842%09red/hsa:5228%09red/hsa:3164%09red/hsa:7534%09red/hsa:7099%09red/hsa:6199%09red/hsa:2251%09red/hsa:2250%09red/hsa:2066%09red/hsa:9134%09red/hsa:5605%09red/hsa:3690%09red/hsa:284%09red/hsa:7010%09red/hsa:2786%09red/hsa:7058%09red/hsa:7059%09red/hsa:7148%09red/hsa:2069%09red/hsa:896%09red/hsa:3675%09red/hsa:3676%09red/hsa:2793%09red/hsa:5578%09red/hsa:3717%09red/hsa:7422%09red/hsa:3678%09red/hsa:5295%09red/hsa:3575%09red/hsa:3574%09red/hsa:7424%09red/hsa:208%09red/hsa:4790%09red/hsa:7097%09red/hsa:5934%09red/hsa:2690%09red/hsa:1026%09red/hsa:1285%09red/hsa:1436%09red/hsa:4170%09red/hsa:2324%09red/hsa:1293%09red/hsa:2247%09red/hsa:1902%09red/hsa:1288%09red/hsa:1945%09red/hsa:2475%09red/hsa:3643%09red
